,id,SP,m_cap,m_bus,m_clock,is_intel
0,1.0,6.0,128.0,128.0,400.0,0.0
1,2.0,,,,,0.0
2,3.0,6.0,128.0,128.0,400.0,0.0
3,4.0,,,,,0.0
4,6.0,,,,,0.0
5,8.0,6.0,128.0,128.0,600.0,0.0
6,9.0,6.0,64.0,128.0,500.0,0.0
7,11.0,1.0,4.0,128.0,100.0,0.0
8,12.0,,,,,1.0
9,13.0,5.0,128.0,128.0,400.0,0.0
10,14.0,,,,,0.0
11,15.0,2.0,32.0,128.0,183.0,0.0
12,16.0,6.0,128.0,128.0,800.0,0.0
13,17.0,12.0,256.0,256.0,680.0,0.0
14,18.0,12.0,256.0,256.0,680.0,0.0
15,20.0,5.0,64.0,128.0,400.0,0.0
16,22.0,5.0,64.0,128.0,400.0,0.0
17,23.0,2.0,64.0,64.0,400.0,0.0
18,27.0,12.0,256.0,256.0,730.0,0.0
19,30.0,6.0,64.0,64.0,500.0,0.0
20,31.0,12.0,256.0,256.0,730.0,0.0
21,33.0,7.0,64.0,128.0,500.0,0.0
22,35.0,,,,,1.0
23,40.0,5.0,128.0,128.0,400.0,0.0
24,41.0,,,,,0.0
25,43.0,2.0,64.0,64.0,332.0,0.0
26,45.0,12.0,128.0,256.0,620.0,0.0
27,46.0,,,,,0.0
28,48.0,5.0,64.0,64.0,332.0,0.0
29,49.0,6.0,128.0,128.0,600.0,0.0
30,50.0,6.0,128.0,128.0,275.0,0.0
31,51.0,12.0,256.0,256.0,730.0,0.0
32,54.0,,,,,1.0
33,55.0,,,,,1.0
34,57.0,7.0,128.0,256.0,850.0,0.0
35,58.0,7.0,128.0,256.0,850.0,0.0
36,61.0,5.0,64.0,128.0,400.0,0.0
37,63.0,7.0,256.0,256.0,850.0,0.0
38,66.0,12.0,128.0,256.0,620.0,0.0
39,67.0,7.0,256.0,256.0,950.0,0.0
40,69.0,5.0,128.0,128.0,400.0,0.0
41,71.0,,,,,0.0
42,76.0,6.0,128.0,128.0,800.0,0.0
43,78.0,12.0,128.0,256.0,620.0,0.0
44,85.0,12.0,128.0,256.0,620.0,0.0
45,86.0,12.0,128.0,256.0,620.0,0.0
46,87.0,12.0,128.0,256.0,620.0,0.0
47,88.0,6.0,64.0,128.0,250.0,0.0
48,89.0,12.0,128.0,256.0,620.0,0.0
49,92.0,12.0,128.0,256.0,620.0,0.0
50,94.0,6.0,128.0,128.0,600.0,0.0
51,95.0,,,,,0.0
52,96.0,3.0,32.0,128.0,332.0,0.0
53,98.0,3.0,32.0,128.0,332.0,0.0
54,101.0,,,,,0.0
55,102.0,6.0,64.0,128.0,500.0,0.0
56,103.0,6.0,128.0,128.0,400.0,0.0
57,104.0,5.0,128.0,128.0,400.0,0.0
58,105.0,12.0,128.0,256.0,620.0,0.0
59,106.0,6.0,128.0,128.0,648.0,0.0
60,107.0,6.0,128.0,128.0,600.0,0.0
61,108.0,6.0,128.0,128.0,400.0,0.0
62,110.0,5.0,128.0,128.0,400.0,0.0
63,112.0,2.0,16.0,64.0,133.0,0.0
64,113.0,6.0,128.0,128.0,648.0,0.0
65,114.0,5.0,128.0,128.0,400.0,0.0
66,115.0,7.0,128.0,256.0,850.0,0.0
67,116.0,7.0,128.0,256.0,850.0,0.0
68,119.0,2.0,64.0,64.0,332.0,0.0
69,120.0,2.0,64.0,64.0,332.0,0.0
70,121.0,2.0,64.0,64.0,332.0,0.0
71,122.0,,,,,0.0
72,124.0,,,,,0.0
73,131.0,,,,,1.0
74,134.0,5.0,64.0,64.0,332.0,0.0
75,135.0,4.0,32.0,128.0,400.0,0.0
76,138.0,6.0,128.0,128.0,800.0,0.0
77,139.0,7.0,128.0,128.0,906.0,0.0
78,141.0,,,,,0.0
79,145.0,6.0,128.0,128.0,400.0,0.0
80,147.0,,,,,1.0
81,151.0,12.0,256.0,256.0,730.0,0.0
82,152.0,6.0,128.0,128.0,600.0,0.0
83,153.0,6.0,64.0,64.0,500.0,0.0
84,156.0,7.0,128.0,256.0,850.0,0.0
85,157.0,,,,,0.0
86,161.0,12.0,128.0,256.0,620.0,0.0
87,162.0,5.0,64.0,128.0,550.0,0.0
88,164.0,5.0,64.0,128.0,550.0,0.0
89,165.0,7.0,128.0,256.0,850.0,0.0
90,166.0,7.0,128.0,256.0,850.0,0.0
91,173.0,2.0,64.0,64.0,332.0,0.0
92,175.0,6.0,128.0,128.0,600.0,0.0
93,176.0,6.0,128.0,128.0,400.0,0.0
94,177.0,6.0,128.0,128.0,600.0,0.0
95,178.0,,,,,0.0
96,180.0,5.0,64.0,128.0,500.0,0.0
97,184.0,,,,,0.0
98,185.0,,,,,1.0
99,186.0,6.0,64.0,64.0,500.0,0.0
100,187.0,12.0,128.0,256.0,620.0,0.0
101,188.0,2.0,64.0,64.0,400.0,0.0
102,193.0,,,,,1.0
103,194.0,384.0,1024.0,128.0,5012.0,0.0
104,195.0,2.0,64.0,64.0,400.0,0.0
105,197.0,512.0,2048.0,128.0,7000.0,0.0
106,200.0,6.0,128.0,128.0,648.0,0.0
107,201.0,12.0,128.0,256.0,620.0,0.0
108,203.0,6.0,128.0,128.0,650.0,0.0
109,204.0,,,,,0.0
110,211.0,6.0,128.0,128.0,600.0,0.0
111,212.0,5.0,64.0,128.0,550.0,0.0
112,217.0,6.0,128.0,128.0,648.0,0.0
113,218.0,6.0,64.0,64.0,500.0,0.0
114,219.0,,,,,1.0
115,221.0,2.0,64.0,64.0,400.0,0.0
