name,clock,max_clock,core,thread,L2,L3,smart_cache
VIA Esther processor 1000MHz,,,,,,,
AMD Phenom(tm) II X6 1055T Processor,,,,,,,
Pentium III (Katmai) ,,,,,,,
Intel(R) Pentium(R) CPU G3450 @ 3.40GHz,3.4,,2,2,,,3000.0
Intel(R) XEON(TM) CPU 2.40GHz,2.4,,1,2,512.0,,
AMD Opteron(tm) Processor 852,,,,,,,
Quad-Core AMD Opteron(tm) Processor 1352,,,,,,,
AMD Athlon(tm) 64 X2 Dual Core Processor 5200+,,,,,,,
Intel E5-2699A v4 ES x 2 ,2.4,3.6,22,44,,55000.0,
Mobile Intel(R) Pentium(R) 4 - M CPU 2.50GHz,2.0,,1,1,512.0,,
Intel(R) Pentium(R) CPU G2020 @ 2.90GHz,2.9,,2,2,,,3000.0
Mobile Intel(R) Celeron(R) CPU 2.20GHz,2.2,,1,1,1000.0,,
Mobile Intel(R) Pentium(R) 4 CPU 2.30GHz,2.0,,1,1,512.0,,
AMD Duron(tm),,,,,,,
AMD Opteron(tm) Processor 142,,,,,,,
Genuine Intel(R) CPU 3.06GHz,1.06,,2,2,2000.0,,
Dual Core AMD Opteron(tm) Processor 280,,,,,,,
Intel(R) Xeon(R) CPU E3-1245 v3 @ 3.40GHz,3.4,3.8,4,8,,,8000.0
Genuine Intel(R) CPU 1400 @ 1.66GHz,1.66,,2,2,1000.0,,
AMD Opteron(tm) Processor 850,,,,,,,
Intel(R) Celeron(R) CPU E3500 @ 2.70GHz,2.7,,2,2,,,1000.0
Intel(R) Celeron(R) CPU 847 @ 1.10GHz,1.1,,2,2,,2000.0,
Intel(R) Core(TM) i7-6500U CPU @ 2.50GHz,2.5,3.1,2,4,,,4000.0
AMD Athlon(tm) 64 Processor 2600+,,,,,,,
Intel(R) Xeon(R) CPU X5570 @ 2.93GHz,2.93,3.33,4,8,,,8000.0
Intel(R) Core(TM) i5-8500B CPU @ 3.00GHz,3.0,4.1,6,6,,,9000.0
VIA C7 Processor 1000MHz,,,,,,,
AMD-K6(tm)-III Processor,,,,,,,
Intel(R) Xeon(R) W-2133 CPU @ 3.60GHz,3.6,3.9,6,12,,8250.0,
Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz,2.9,3.6,4,4,,,6000.0
Intel Celeron 766MHz (Coppermine-128K) ,0.8,,1,1,128.0,,
Intel(R) Pentium(R) 4 CPU 2.80GHz,2.8,,1,1,512.0,,
Genuine Intel(R) CPU 2.80GHz,1.8,,2,2,1000.0,,
Athlon XP-M,,,,,,,
Intel(R) Atom(TM) CPU Z2760 @ 1.80GHz,1.8,,2,4,1000.0,,
Intel(R) Pentium(R) 4 CPU 2.50GHz,2.8,,1,1,512.0,,
Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,2.8,3.8,4,8,,6000.0,
Intel(R) Pentium(R) Dual CPU E2220 @ 2.40GHz,2.4,,2,2,1000.0,,
AMD Phenom(tm) 9550 Quad-Core Processor,,,,,,,
VIA C7-D Processor 2000MHz,,,,,,,
Intel(R) Core(TM) i5-4670 CPU @ 3.40GHz,3.4,3.8,4,4,,,6000.0
Intel(R) Core(TM) i5-3550 CPU @ 3.30GHz,3.3,3.7,4,4,,,6000.0
Intel(R) Xeon(R) CPU X5470 @ 3.33GHz,3.33,,4,4,12000.0,,
AMD Athlon MP,,,,,,,
AMD Phenom(tm) II X6 1045T Processor,,,,,,,
AMD Athlon(TM) XP,,,,,,,
Intel(R) Pentium(R) III Mobile CPU 1200MHz,1.2,,1,1,512.0,,
mobile AMD Athlon(tm) XP 2800+,,,,,,,
AMD Opteron(tm) Processor 154,,,,,,,
"AMD A10-7850K Radeon R7, 12 Compute Cores 4C+8G",,,,,,,
Intel(R) Celeron(R) CPU 530 @ 1.73GHz,1.73,,1,1,1000.0,,
AMD Sempron(TM) 2400+,,,,,,,
Intel(R) Celeron(R) CPU P4500 @ 1.87GHz,1.86,,2,2,,,2000.0
AMD Sempron(tm) 2800+,,,,,,,
Intel(R) Xeon(R) CPU E5-1650 v4 @ 3.60GHz,3.6,4.0,6,12,,15000.0,
Dual-Core AMD Opteron(tm) Processor 2212 HE,,,,,,,
Genuine Intel(R) processor 1500MHz,2.16,,1,1,1000.0,,
Intel(R) Core(TM) i5-4430 CPU @ 3.00GHz,3.0,3.2,4,4,,,6000.0
AMD Phenom(tm) II X4 980 Processor,,,,,,,
AMD K7 processo,,,,,,,
Mobile AMD Sempron(tm) Processor 3000+,,,,,,,
Intel(R) Core(TM)2 Duo CPU T5800 @ 2.00GHz,2.0,,2,2,2000.0,,
AMD Turion(tm) X2 Ultra Dual-Core Mobile ZM-85,,,,,,,
Mobile Intel(R) Celeron(R) processor 800MHz,0.8,,1,1,128.0,,
Intel(R) Core(TM)2 CPU P8700 @ 2.53GHz,2.53,,2,2,3000.0,,
Intel(R) Core(TM) i5 CPU 650 @ 3.20GHz,3.2,3.46,2,4,,,4000.0
AMD A4-5000 APU with Radeon(TM) HD Graphics,,,,,,,
Intel(R) Xeon(R) CPU E5630 @ 2.53GHz,2.53,2.8,4,8,,,12000.0
Intel(R) Pentium(R) III CPU 1200MHz,0.8,,1,1,256.0,,
AMD Athlon(tm) 64 Processor 3000+,,,,,,,
Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz,1.8,4.0,4,8,,,8000.0
Intel(R) Xeon(R) CPU E5430 @ 2.66GHz,2.66,,4,4,12000.0,,
Intel(R) Atom(TM) CPU D2550 @ 1.86GHz,1.86,,2,4,1000.0,,
AMD Phenom(tm) II X4 920 Processor,2.8,,4,,2000.0,6000.0,0
Intel(R) Xeon(R) CPU E5310 @ 1.60GHz,1.6,,4,4,8000.0,,
AMD Athlon(tm) II X2 B22 Processor,3.0,,2,,,,0
Intel(R) Core(TM) i5-3210M CPU @ 2.50GHz,2.5,3.1,2,4,,,3000.0
Intel(R) Atom(TM) CPU 230 @ 1.60GHz,1.6,,1,2,512.0,,
"AMD A8-7100 Radeon R5, 8 Compute Cores 4C+4G ",,,,,,,
Intel(R) Pentium(R) 4 CPU 1600MHz,3.0,,1,2,1000.0,,
AMD FX(tm)-8120 Eight-Core Processor ,3.4,4.3,8.0,8.0,8000.0,,0
AMD Sempron(tm) Processor LE-1200,,,,,,,
Intel(R) Core(TM) i3-2367M CPU @ 1.40GHz,1.4,,2,4,,,3000.0
Intel(R) Core(TM) i7-4700MQ CPU @ 2.40GHz,2.4,3.4,4,8,,,6000.0
Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz,2.5,3.3,4,4,,,6000.0
Intel(R) Pentium(R) 4 Mobile CPU 1.90GHz,1.9,,2,2,,,2000.0
Pentium (P54C) ,,,,,,,
Dual Core AMD Opteron(tm) Processor 265,,,,,,,
Intel(R) Core(TM) i3-4000M CPU @ 2.40GHz,2.4,,2,4,,,3000.0
Intel(R) Pentium(R) Dual CPU T3400 @ 2.16GHz,2.16,,2,2,1000.0,,
Intel(R) Core(TM) m3-6Y30 CPU @ 0.90GHz,0.9,2.2,2,4,,,4000.0
AMD Athlon(tm) X2 250e Processor,,,,,,,
AMD Phenom(tm) 9600B Quad-Core Processor,,,,,,,
Genuine Intel(R) CPU 3.20GHz,3.2,,1,2,1000.0,,
Intel(R) Core(TM) i5-7600K CPU @ 3.80GHz,3.4,3.8,4,4,,,6000.0
Genuine Intel(R) CPU 3.40GHz,3.4,3.9,4,8,,,8000.0
Genuine Intel(R) CPU 585 @ 2.16GHz,2.16,,1,1,1000.0,,
Intel(R) Atom(TM) CPU Z3735F @ 1.33GHz,1.33,,4,4,2000.0,,
AMD Turion(tm) 64 Mobile Technology ML-32,,,,,,,
Intel(R) Xeon(TM) CPU 3.20GHz,3.2,,1,2,1000.0,,
