0,AMD Ryzen 9 3950X BOX,https://kakaku.com/item/K0001172057/,Ryzen93950X,AMD,SocketAM4,3.5,4.7,16,32,8000.0,64000.0,,98700
1,AMD Ryzen 5 3600 BOX,https://kakaku.com/item/K0001172062/,Ryzen53600,AMD,SocketAM4,3.6,4.2,6,12,3000.0,32000.0,,24368
2,AMD Ryzen 7 3700X BOX,https://kakaku.com/item/K0001172060/,Ryzen73700X,AMD,SocketAM4,3.6,4.4,8,16,4000.0,32000.0,,40730
3,インテル Core i5 9400F BOX,https://kakaku.com/item/K0001126893/,Corei59400F (CoffeeLake-SRefresh),インテル,LGA1151,2.9,4.1,6,6,,,9000.0,16600
4,AMD Ryzen 9 3900X BOX,https://kakaku.com/item/K0001172058/,Ryzen93900X,AMD,SocketAM4,3.8,4.6,12,24,6000.0,64000.0,,62315
5,AMD Ryzen 5 2600 BOX,https://kakaku.com/item/K0001047707/,Ryzen52600,AMD,SocketAM4,3.4,3.9,6,12,3000.0,16000.0,,15070
6,インテル Core i9 10980XE Extreme Edition BOX,https://kakaku.com/item/K0001217270/,Corei910980XE (CascadeLake),インテル,LGA2066,3.0,4.8,18,36,,24750.0,,148488
7,インテル Core i7 9700K BOX,https://kakaku.com/item/K0001095746/,Corei79700K (CoffeeLake-SRefresh),インテル,LGA1151,3.6,4.9,8,8,,,12000.0,42372
8,インテル Core i9 9900K BOX,https://kakaku.com/item/K0001095747/,Corei99900K (CoffeeLake-SRefresh),インテル,LGA1151,3.6,5.0,8,16,,,16000.0,57920
9,AMD Ryzen 5 3400G BOX,https://kakaku.com/item/K0001172063/,Ryzen53400G,AMD,SocketAM4,3.7,4.2,4,8,2000.0,4000.0,,19480
10,インテル Core i3 9100F BOX,https://kakaku.com/item/K0001157347/,Corei39100F (CoffeeLake-SRefresh),インテル,LGA1151,3.6,4.2,4,4,,,6000.0,9320
11,インテル Core i9 9900KS Special Edition BOX,https://kakaku.com/item/K0001207178/,Corei99900KS (CoffeeLakeRefresh),インテル,LGA1151,4.0,5.0,8,16,,16000.0,,64024
12,インテル Core i5 9400 BOX,https://kakaku.com/item/K0001158576/,Corei59400 (CoffeeLake-SRefresh),インテル,LGA1151,2.9,4.1,6,6,,9000.0,,21100
13,AMD A10-9700E BOX,https://kakaku.com/item/K0000994449/,A10-9700E,AMD,SocketAM4,3.0,3.5,4,,2000.0,,,8971
14,AMD A6-9500 BOX,https://kakaku.com/item/K0001160779/,A6-9500,AMD,SocketAM4,3.5,3.8,2,,1000.0,,,2198
15,AMD Ryzen 3 3200G BOX,https://kakaku.com/item/K0001172064/,Ryzen33200G,AMD,SocketAM4,3.6,4.0,4,4,2000.0,4000.0,,12578
16,インテル Core i5 9600KF BOX,https://kakaku.com/item/K0001145323/,Corei59600KF (CoffeeLake-SRefresh),インテル,LGA1151,3.7,4.6,6,6,,,9000.0,22880
17,AMD Ryzen 7 2700X BOX,https://kakaku.com/item/K0001047704/,Ryzen72700X,AMD,SocketAM4,3.7,4.3,8,16,4000.0,16000.0,,23480
18,AMD Ryzen 7 2700 BOX,https://kakaku.com/item/K0001047705/,Ryzen72700,AMD,SocketAM4,3.2,4.1,8,16,4000.0,16000.0,,19700
19,AMD Ryzen 5 3600X BOX,https://kakaku.com/item/K0001172061/,Ryzen53600X,AMD,SocketAM4,3.8,4.4,6,12,3000.0,32000.0,,29173
20,インテル Core i5 9600K BOX,https://kakaku.com/item/K0001095745/,Corei59600K (CoffeeLake-SRefresh),インテル,LGA1151,3.7,4.6,6,6,,,9000.0,26290
21,インテル Core i7 9700 BOX,https://kakaku.com/item/K0001165715/,Corei79700 (CoffeeLake),インテル,LGA1151,3.0,4.7,8,8,,,12000.0,38500
22,インテル Core i3 9100 BOX,https://kakaku.com/item/K0001168066/,Corei39100 (CoffeeLake),インテル,LGA1151,3.6,4.2,4,4,,6000.0,,14762
23,インテル Core i7 9700F BOX,https://kakaku.com/item/K0001164119/,Corei79700F (CoffeeLake-SRefresh),インテル,LGA1151,3.0,4.7,8,8,,,12000.0,37378
24,インテル Core i9 9900KF BOX,https://kakaku.com/item/K0001145325/,Corei99900KF (CoffeeLake-SRefresh),インテル,LGA1151,3.6,5.0,8,16,,,16000.0,53339
25,インテル Core i9 10920X BOX,https://kakaku.com/item/K0001218982/,Corei910920X (CascadeLake),インテル,LGA2066,3.5,4.8,12,24,,19250.0,,89880
26,AMD Athlon 200GE BOX,https://kakaku.com/item/K0001094966/,Athlon200GE,AMD,SocketAM4,3.2,,2,4,1024.0,4000.0,,5256
27,インテル Pentium Gold G5420 BOX,https://kakaku.com/item/K0001187545/,PentiumGoldG5420 (CoffeeLake),インテル,LGA1151,3.8,,2,4,,,4000.0,6990
28,インテル Pentium Gold G5400 BOX,https://kakaku.com/item/K0001045053/,PentiumGoldG5400 (CoffeeLake-S),インテル,LGA1151,3.7,,2,4,,,4000.0,6680
29,インテル Core i9 9900 BOX,https://kakaku.com/item/K0001167104/,Corei99900 (CoffeeLake),インテル,LGA1151,3.1,5.0,8,16,,,16000.0,52662
30,インテル Core i9 10900X BOX,https://kakaku.com/item/K0001217271/,Corei910900X (CascadeLake),インテル,LGA2066,3.7,4.7,10,20,,19250.0,,75679
31,AMD Ryzen 7 3800X BOX,https://kakaku.com/item/K0001172059/,Ryzen73800X,AMD,SocketAM4,3.9,4.5,8,16,4000.0,32000.0,,47575
32,インテル Core i9 9980XE Extreme Edition BOX,https://kakaku.com/item/K0001096312/,Corei99980XE (Skylake-XRefresh),インテル,LGA2066,3.0,4.4,18,36,,,24750.0,115800
33,AMD Ryzen Threadripper 3970X,https://kakaku.com/item/K0001213693/,RyzenThreadripper3970X,AMD,SocketsTRX4,3.7,4.5,32,64,16000.0,128000.0,,252500
34,インテル Core i5 8400 BOX,https://kakaku.com/item/K0001002087/,Corei58400 (CoffeeLake-S),インテル,LGA1151,2.8,4.0,6,6,,,9000.0,21534
35,AMD Athlon 3000G BOX,https://kakaku.com/item/K0001213691/,Athlon3000G,AMD,SocketAM4,3.5,,2,4,1000.0,4000.0,,7678
36,インテル Core i5 9500 BOX,https://kakaku.com/item/K0001178835/,Corei59500 (CoffeeLake),インテル,LGA1151,3.0,4.4,6,6,,9000.0,,23980
37,AMD Ryzen Threadripper 2970WX BOX,https://kakaku.com/item/K0001079494/,RyzenThreadripper2970WX,AMD,SocketTR4,3.0,4.2,24,48,12000.0,64000.0,,76978
38,インテル Core i7 9800X BOX,https://kakaku.com/item/K0001096315/,Corei79800X (Skylake-XRefresh),インテル,LGA2066,3.8,4.4,8,16,,,16500.0,43880
39,インテル Core i5 9600 BOX,https://kakaku.com/item/K0001181813/,Corei59600 (CoffeeLake),インテル,LGA1151,3.1,4.6,6,6,,,9000.0,26180
40,インテル Celeron G4900 BOX,https://kakaku.com/item/K0001045055/,CeleronG4900 (CoffeeLake-S),インテル,LGA1151,3.1,,2,2,,,2000.0,4790
41,インテル Core i3 8100 BOX,https://kakaku.com/item/K0001002089/,Corei38100 (CoffeeLake-S),インテル,LGA1151,3.6,,4,4,,,6000.0,15030
42,AMD Ryzen 5 2600X BOX,https://kakaku.com/item/K0001047706/,Ryzen52600X,AMD,SocketAM4,3.6,4.2,6,12,3000.0,16000.0,,17028
43,AMD Athlon 220GE BOX,https://kakaku.com/item/K0001122219/,Athlon220GE,AMD,SocketAM4,3.4,,2,4,1000.0,4000.0,,6688
44,AMD Ryzen Threadripper 1920X BOX,https://kakaku.com/item/K0000987817/,RyzenThreadripper1920X,AMD,SocketTR4,3.5,4.0,12,24,6000.0,32000.0,,26741
45,インテル Core i7 8700K BOX,https://kakaku.com/item/K0001002085/,Corei78700K (CoffeeLake-S),インテル,LGA1151,3.7,4.7,6,12,,,12000.0,42520
46,AMD Ryzen 7 1700X BOX,https://kakaku.com/item/K0000946574/,Ryzen71700X,AMD,SocketAM4,3.4,3.8,8,16,4000.0,16000.0,,18518
47,インテル Core i7 8700 BOX,https://kakaku.com/item/K0001002086/,Corei78700 (CoffeeLake-S),インテル,LGA1151,3.2,4.6,6,12,,,12000.0,42020
48,AMD Ryzen Threadripper 3960X,https://kakaku.com/item/K0001213692/,RyzenThreadripper3960X,AMD,SocketsTRX4,3.8,4.5,24,48,12000.0,128000.0,,177800
49,AMD Ryzen 5 2400G BOX,https://kakaku.com/item/K0001031959/,Ryzen52400G,AMD,SocketAM4,3.6,3.9,4,8,2000.0,4000.0,,16480
50,AMD Ryzen 5 1600 BOX,https://kakaku.com/item/K0000954888/,Ryzen51600,AMD,SocketAM4,3.2,3.6,6,12,3000.0,16000.0,,13398
51,インテル Core i5 9500F BOX,https://kakaku.com/item/K0001216730/,Corei59500F (CoffeeLakeRefresh),インテル,LGA1151,3.0,4.4,6,6,,9000.0,,21969
52,インテル Xeon W-3175X BOX,https://kakaku.com/item/K0001150564/,XeonW-3175X (Skylake),インテル,LGA3647,3.1,3.8,28,56,,38500.0,,387000
53,インテル Core i9 9900X BOX,https://kakaku.com/item/K0001096314/,Corei99900X (Skylake-XRefresh),インテル,LGA2066,3.5,4.4,10,20,,,19250.0,68711
54,AMD Ryzen 3 2200G BOX,https://kakaku.com/item/K0001031960/,Ryzen32200G,AMD,SocketAM4,3.5,3.7,4,4,2000.0,4000.0,,11480
55,インテル Core i7 7700 BOX,https://kakaku.com/item/K0000932813/,Corei77700 (KabyLake-S),インテル,LGA1151,3.6,4.2,4,8,,,8000.0,39328
56,AMD Ryzen Threadripper 2950X BOX,https://kakaku.com/item/K0001079495/,RyzenThreadripper2950X,AMD,SocketTR4,3.5,4.4,16,32,8000.0,32000.0,,65978
57,インテル Core i5 6500 BOX,https://kakaku.com/item/K0000808341/,Corei56500 (Skylake),インテル,LGA1151,3.2,3.6,4,4,,,6000.0,19980
58,インテル Core i7 3770S BOX,https://kakaku.com/item/K0000368071/,Corei73770S (IvyBridge),インテル,LGA1155,3.1,,4,,,,8000.0,19576
59,インテル Core i5 8500 BOX,https://kakaku.com/item/K0001045049/,Corei58500 (CoffeeLake-S),インテル,LGA1151,3.0,4.1,6,6,,,9000.0,23314
60,インテル Core i7 7700K BOX,https://kakaku.com/item/K0000932815/,Corei77700K (KabyLake-S),インテル,LGA1151,4.2,4.5,4,8,,,8000.0,45544
61,インテル Core i9 9960X BOX,https://kakaku.com/item/K0001096316/,Corei99960X (Skylake-XRefresh),インテル,LGA2066,3.1,4.4,16,32,,,22000.0,101100
62,AMD Athlon 240GE BOX,https://kakaku.com/item/K0001122218/,Athlon240GE,AMD,SocketAM4,3.5,,2,4,1000.0,4000.0,,7088
63,インテル Pentium Dual-Core G4560 BOX,https://kakaku.com/item/K0000933429/,PentiumDual-CoreG4560 (KabyLake-S),インテル,LGA1151,3.5,,2,4,,3000.0,,7205
64,インテル Core i7 9700KF BOX,https://kakaku.com/item/K0001145324/,Corei79700KF (CoffeeLake-SRefresh),インテル,LGA1151,3.6,4.9,8,8,,,12000.0,43496
65,インテル Celeron G4930 BOX,https://kakaku.com/item/K0001190638/,CeleronG4930 (CoffeeLake),インテル,LGA1151,3.2,,2,2,,2000.0,,5147
66,AMD Ryzen 7 1800X BOX,https://kakaku.com/item/K0000946573/,Ryzen71800X,AMD,SocketAM4,3.6,4.0,8,16,4000.0,16000.0,,21250
67,AMD Ryzen Threadripper 2920X BOX,https://kakaku.com/item/K0001079496/,RyzenThreadripper2920X,AMD,SocketTR4,3.5,4.3,12,24,6000.0,32000.0,,32978
68,インテル Core i7 8700 バルク,https://kakaku.com/item/K0001106864/,Corei78700 (CoffeeLake-S),インテル,LGA1151,3.2,4.6,6,12,,,12000.0,39980
69,インテル Core i3 8300 BOX,https://kakaku.com/item/K0001045050/,Corei38300 (CoffeeLake-S),インテル,LGA1151,3.7,,4,4,,,8000.0,19651
70,AMD Ryzen 7 2700X 50th Anniversary Edition BOX with Wraith Prism cooler,https://kakaku.com/item/K0001154374/,Ryzen72700X,AMD,SocketAM4,3.7,4.3,8,16,4000.0,16000.0,,39980
71,インテル Xeon Platinum 8180 BOX,https://kakaku.com/item/K0000982874/,XeonPlatinum8180 (Skylake-SP),インテル,LGA3647,2.5,3.8,28,56,,38500.0,,1219900
72,インテル Core i3 7100 BOX,https://kakaku.com/item/K0000933419/,Corei37100 (KabyLake-S),インテル,LGA1151,3.9,,2,4,,,3000.0,15400
73,インテル Core i3 7300T BOX,https://kakaku.com/item/K0000933421/,Corei37300T (KabyLake-S),インテル,LGA1151,3.5,,2,4,,4000.0,,19724
74,インテル Xeon E3-1245 v6 BOX,https://kakaku.com/item/K0000957605/,XeonE3-1245V6 (KabyLake-S),インテル,LGA1151,3.7,4.1,4,8,,,8000.0,38719
75,インテル Celeron Dual-Core G3930 BOX,https://kakaku.com/item/K0000933431/,CeleronDual-CoreG3930 (KabyLake-S),インテル,LGA1151,2.9,,2,2,,2000.0,,4785
76,AMD Ryzen 3 1200 BOX,https://kakaku.com/item/K0000986260/,Ryzen31200,AMD,SocketAM4,3.1,3.4,4,4,2000.0,8000.0,,9949
77,インテル Core i3 7100T BOX,https://kakaku.com/item/K0000933423/,Corei37100T (KabyLake-S),インテル,LGA1151,3.4,,2,4,,,3000.0,15675
78,インテル Core i3 8350K BOX,https://kakaku.com/item/K0001002088/,Corei38350K (CoffeeLake-S),インテル,LGA1151,4.0,,4,4,,,8000.0,18203
79,インテル Core i3 9350KF BOX,https://kakaku.com/item/K0001152701/,Corei39350KF (CoffeeLake-SRefresh),インテル,LGA1151,4.0,4.6,4,4,,8000.0,,19970
80,AMD Ryzen Threadripper 1900X BOX,https://kakaku.com/item/K0000993227/,RyzenThreadripper1900X,AMD,SocketTR4,3.8,4.0,8,16,4000.0,16000.0,,20822
81,インテル Core i7 6700K BOX,https://kakaku.com/item/K0000800540/,Corei76700K (Skylake),インテル,LGA1151,4.0,4.2,4,8,,,8000.0,40736
82,インテル Core i9 9820X BOX,https://kakaku.com/item/K0001096318/,Corei99820X (Skylake-XRefresh),インテル,LGA2066,3.3,4.1,10,20,,,16500.0,63770
83,インテル Core i9 9940X BOX,https://kakaku.com/item/K0001096313/,Corei99940X (Skylake-XRefresh),インテル,LGA2066,3.3,4.4,14,28,,,19250.0,88800
84,AMD Ryzen Threadripper 2990WX BOX,https://kakaku.com/item/K0001079117/,RyzenThreadripper2990WX,AMD,SocketTR4,3.0,4.2,32,64,16000.0,64000.0,,183130
85,インテル Xeon W-3275M バルク,https://kakaku.com/item/K0001211650/,XeonW-3275M (CascadeLake),インテル,LGA3647,2.5,4.6,28,56,,38500.0,,967999
86,インテル Core i3 3240 BOX,https://kakaku.com/item/K0000414362/,Corei33240 (IvyBridge),インテル,LGA1155,3.4,,2,,,,3000.0,9297
87,AMD A12-9800E BOX,https://kakaku.com/item/K0000994450/,A12-9800E,AMD,SocketAM4,3.1,3.8,4,,2000.0,,,11321
88,インテル Pentium Gold G5620 BOX,https://kakaku.com/item/K0001217818/,PentiumGoldG5620 (CoffeeLakeRefresh),インテル,LGA1151,4.0,,2,4,,,12000.0,11870
89,インテル Pentium Dual-Core G4620 BOX,https://kakaku.com/item/K0000936001/,PentiumDual-CoreG4620 (KabyLake-S),インテル,LGA1151,3.7,,2,4,,3000.0,,12524
90,インテル Core i5 7400T BOX,https://kakaku.com/item/K0000932821/,Corei57400T (KabyLake-S),インテル,LGA1151,2.4,3.0,4,4,,,6000.0,25173
91,インテル Core i5 7600T BOX,https://kakaku.com/item/K0000933411/,Corei57600T (KabyLake-S),インテル,LGA1151,2.8,3.7,4,4,,,6000.0,30085
92,インテル Celeron Dual-Core G3950 BOX,https://kakaku.com/item/K0000936003/,CeleronDual-CoreG3950 (KabyLake-S),インテル,LGA1151,3.0,,2,2,,,2000.0,6572
93,インテル Pentium Gold G5600 BOX,https://kakaku.com/item/K0001045051/,PentiumGoldG5600 (CoffeeLake-S),インテル,LGA1151,3.9,,2,4,,,4000.0,10945
94,インテル Core 2 Duo E8500 バルク,https://kakaku.com/item/05100011433/,Core2DuoE8500,インテル,LGA775,3.16,,2,,6000.0,,,13480
95,インテル Core i5 6400 BOX,https://kakaku.com/item/K0000808343/,Corei56400 (Skylake),インテル,LGA1151,2.7,3.3,4,4,,,6000.0,22622
96,インテル Core i5 7400 BOX,https://kakaku.com/item/K0000933081/,Corei57400 (KabyLake-S),インテル,LGA1151,3.0,3.5,4,4,,,6000.0,22800
97,インテル Xeon E-2224 BOX,https://kakaku.com/item/K0001210311/,XeonE-2224 (CoffeeLake),インテル,LGA1151,3.4,4.6,4,4,,,8000.0,25852
98,インテル Core i5 8600K BOX,https://kakaku.com/item/K0001002279/,Corei58600K (CoffeeLake-S),インテル,LGA1151,3.6,4.3,6,6,,,9000.0,31900
99,インテル Xeon E-2236 BOX,https://kakaku.com/item/K0001193016/,XeonE-2236 (CoffeeLake),インテル,LGA1151,3.4,4.8,6,12,,,12000.0,36519
100,インテル Xeon E-2146G BOX,https://kakaku.com/item/K0001130770/,XeonE-2146G (CoffeeLake),インテル,LGA1151,3.5,4.5,6,12,,,12000.0,41359
101,インテル Xeon E5-2620 v4 BOX,https://kakaku.com/item/K0000869929/,XeonE5-2620V4 (Broadwell-EP),インテル,LGA2011-3,2.1,3.0,8,16,,,20000.0,50709
102,インテル Core i7 7820X,https://kakaku.com/item/K0000970156/,Corei77820X (Skylake-X),インテル,LGA2066,3.6,4.3,8,16,,11000.0,,51480
103,インテル Pentium Gold G5500 BOX,https://kakaku.com/item/K0001045052/,PentiumGoldG5500 (CoffeeLake-S),インテル,LGA1151,3.8,,2,4,,,4000.0,10221
104,インテル Pentium Dual-Core G4600 BOX,https://kakaku.com/item/K0000933427/,PentiumDual-CoreG4600 (KabyLake-S),インテル,LGA1151,3.6,,2,4,,3000.0,,11110
105,AMD Ryzen 5 1500X BOX,https://kakaku.com/item/K0000958312/,Ryzen51500X,AMD,SocketAM4,3.5,3.7,4,8,2000.0,16000.0,,14347
106,インテル Xeon E-2124 BOX,https://kakaku.com/item/K0001130764/,XeonE-2124 (CoffeeLake),インテル,LGA1151,3.3,4.3,4,4,,,8000.0,24859
107,インテル Xeon E3-1220 v6 BOX,https://kakaku.com/item/K0000957608/,XeonE3-1220V6 (KabyLake-S),インテル,LGA1151,3.0,3.5,4,4,,,8000.0,25260
108,インテル Core i5 7500T BOX,https://kakaku.com/item/K0000933413/,Corei57500T (KabyLake-S),インテル,LGA1151,2.7,3.3,4,4,,,6000.0,27225
109,インテル Core i5 8600 BOX,https://kakaku.com/item/K0001045048/,Corei58600 (CoffeeLake-S),インテル,LGA1151,3.1,4.3,6,6,,,9000.0,28261
110,インテル Xeon E-2224G BOX,https://kakaku.com/item/K0001193017/,XeonE-2224G (CoffeeLake),インテル,LGA1151,3.5,4.7,4,4,,,12000.0,28269
111,インテル Xeon E3-1225 v5 バルク,https://kakaku.com/item/K0000829365/,XeonE3-1225V5 (Skylake),インテル,LGA1151,3.3,,4,,,,8000.0,28489
112,インテル Core i7 4770 バルク,https://kakaku.com/item/K0000516806/,Corei74770 (Haswell),インテル,LGA1150,3.4,3.9,4,8,,,8000.0,34980
113,インテル Xeon E-2226G BOX,https://kakaku.com/item/K0001210312/,XeonE-2226G (CoffeeLake),インテル,LGA1151,3.4,4.7,6,6,,,12000.0,36000
114,インテル Xeon E-2234 BOX,https://kakaku.com/item/K0001210313/,XeonE-2234 (CoffeeLake),インテル,LGA1151,3.6,4.8,4,8,,,12000.0,36000
115,インテル Core i7 3770 バルク,https://kakaku.com/item/K0000368068/,Corei73770,インテル,LGA1155,3.4,3.9,4,8,,,8000.0,37980
116,インテル Core i7 6700 BOX,https://kakaku.com/item/K0000808337/,Corei76700 (Skylake),インテル,LGA1151,3.4,4.0,4,8,,,8000.0,42020
117,インテル Xeon E3-1275 v6 BOX,https://kakaku.com/item/K0000957609/,XeonE3-1275V6 (KabyLake-S),インテル,LGA1151,3.8,4.2,4,8,,,8000.0,42575
118,インテル Core i7 4770 BOX,https://kakaku.com/item/K0000516805/,Corei74770 (Haswell),インテル,LGA1150,3.4,3.9,4,8,,,8000.0,45000
119,インテル Core i7 7800X,https://kakaku.com/item/K0000970157/,Corei77800X (Skylake-X),インテル,LGA2066,3.5,4.0,6,12,,8250.0,,49824
120,インテル Xeon E5-1650 v4 BOX,https://kakaku.com/item/K0000904453/,XeonE5-1650V4 (Broadwell-EP),インテル,LGA2011-3,3.6,4.0,6,12,,15000.0,,77204
121,インテル Xeon W-3223 バルク,https://kakaku.com/item/K0001211658/,XeonW-3223 (CascadeLake),インテル,LGA3647,3.5,4.2,8,16,,16500.0,,102959
122,インテル Xeon W-3235 バルク,https://kakaku.com/item/K0001211656/,XeonW-3235 (CascadeLake),インテル,LGA3647,3.3,4.5,12,24,,19250.0,,186999
123,インテル Xeon E5-2690 v3 BOX,https://kakaku.com/item/K0000691890/,XeonE5-2690V3 (Haswell-EP),インテル,LGA2011-3,2.6,,12,,,,30000.0,263883
124,AMD EPYC 7601 BOX,https://kakaku.com/item/K0001087343/,EPYC7601,AMD,,2.2,3.2,32,64,,64000.0,,711259
125,インテル Core Duo T2300E BOX,https://kakaku.com/item/05100011010/,CoreDuoT2300E,インテル,,1.66,,2,,2000.0,,,3967
126,インテル Celeron Dual-Core G1610 バルク,https://kakaku.com/item/K0000459346/,CeleronDual-CoreG1610 (IvyBridge),インテル,LGA1155,2.6,,2,,,,2000.0,4980
127,インテル Celeron Dual-Core G3900 BOX,https://kakaku.com/item/K0000857596/,CeleronDual-CoreG3900 (Skylake),インテル,LGA1151,2.8,,2,2,,,2000.0,6780
128,インテル Pentium Dual-Core G4400 BOX,https://kakaku.com/item/K0000825688/,PentiumDual-CoreG4400 (Skylake),インテル,LGA1151,3.3,,2,2,,,3000.0,8980
129,インテル Core 2 Quad Q6600 バルク,https://kakaku.com/item/05100011185/,Core2QuadQ6600,インテル,LGA775,2.4,,4,,8000.0,,,11198
130,インテル Core i5 660 バルク,https://kakaku.com/item/K0000079474/,Corei5660,インテル,LGA1156,3.33,,2,,,4000.0,,12980
131,インテル Core i3 2100 バルク,https://kakaku.com/item/K0000215609/,Corei32100,インテル,LGA1155,3.1,,2,,,,3000.0,14280
132,AMD Ryzen 5 1600X BOX,https://kakaku.com/item/K0000958311/,Ryzen51600X,AMD,SocketAM4,3.6,4.0,6,12,3000.0,16000.0,,16553
133,インテル Core i3 6100 BOX,https://kakaku.com/item/K0000832917/,Corei36100 (Skylake),インテル,LGA1151,3.7,,2,4,,,3000.0,16800
134,インテル Core i3 7300 BOX,https://kakaku.com/item/K0000933417/,Corei37300 (KabyLake-S),インテル,LGA1151,4.0,,2,4,,4000.0,,19644
135,インテル Core i3 7350K BOX,https://kakaku.com/item/K0000933425/,Corei37350K (KabyLake-S),インテル,LGA1151,4.2,,2,4,,,4000.0,24035
136,インテル Core i5 8400 バルク,https://kakaku.com/item/K0001106865/,Corei58400 (CoffeeLake-S),インテル,LGA1151,2.8,4.0,6,6,,,9000.0,24300
137,インテル Xeon E5-2603 v4 BOX,https://kakaku.com/item/K0000869925/,XeonE5-2603V4 (Broadwell-EP),インテル,LGA2011-3,1.7,,6,6,,,15000.0,26462
138,インテル Core i5 7500 BOX,https://kakaku.com/item/K0000933079/,Corei57500 (KabyLake-S),インテル,LGA1151,3.4,3.8,4,4,,,6000.0,27225
139,インテル Xeon Bronze 3204 BOX,https://kakaku.com/item/K0001159423/,XeonBronze3204 (CascadeLake-SP),インテル,LGA3647,1.9,1.9,6,6,,8250.0,,27918
