0,clock,core,thread,is_L2,L2,is_L3,L3,is_smart_cache,smart_cache,PRICE
1,3.6,8.0,16.0,1.0,4000.0,1.0,32000.0,0.0,0.0,40732.0
2,3.6,6.0,12.0,1.0,3000.0,1.0,32000.0,0.0,0.0,24368.0
3,3.5,16.0,32.0,1.0,8000.0,1.0,64000.0,0.0,0.0,98780.0
4,2.9,6.0,6.0,0.0,0.0,0.0,0.0,1.0,9000.0,16743.0
5,3.6,8.0,16.0,0.0,0.0,1.0,16000.0,0.0,0.0,58093.0
6,3.4,6.0,12.0,1.0,3000.0,1.0,16000.0,0.0,0.0,15070.0
7,3.6,8.0,8.0,0.0,0.0,1.0,12000.0,0.0,0.0,41980.0
8,2.9,6.0,6.0,0.0,0.0,0.0,0.0,1.0,9000.0,21100.0
9,3.7,4.0,8.0,1.0,2000.0,1.0,4000.0,0.0,0.0,19480.0
10,4.0,8.0,16.0,0.0,0.0,1.0,16000.0,0.0,0.0,64024.0
11,3.6,4.0,4.0,0.0,0.0,1.0,6000.0,0.0,0.0,9328.0
12,3.2,8.0,16.0,1.0,4000.0,1.0,16000.0,0.0,0.0,19445.0
13,3.7,10.0,20.0,0.0,0.0,0.0,0.0,1.0,19250.0,75679.0
14,3.6,4.0,4.0,1.0,2000.0,1.0,4000.0,0.0,0.0,12580.0
15,3.0,18.0,36.0,0.0,0.0,1.0,24750.0,0.0,0.0,148488.0
16,3.7,6.0,6.0,0.0,0.0,0.0,0.0,1.0,9000.0,26290.0
17,3.7,6.0,6.0,0.0,0.0,0.0,0.0,1.0,9000.0,22880.0
18,3.7,2.0,4.0,0.0,0.0,0.0,0.0,1.0,4000.0,6680.0
20,3.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,12000.0,40266.0
21,3.6,4.0,4.0,0.0,0.0,1.0,6000.0,0.0,0.0,15376.0
22,3.7,8.0,16.0,1.0,4000.0,1.0,16000.0,0.0,0.0,23480.0
23,3.8,6.0,12.0,1.0,3000.0,1.0,32000.0,0.0,0.0,29174.0
24,3.7,32.0,64.0,1.0,16000.0,1.0,128000.0,0.0,0.0,252500.0
25,3.5,2.0,4.0,1.0,1000.0,1.0,4000.0,0.0,0.0,7678.0
26,3.5,12.0,24.0,1.0,6000.0,1.0,32000.0,0.0,0.0,32978.0
27,3.0,8.0,8.0,0.0,0.0,1.0,12000.0,0.0,0.0,37378.0
28,3.9,8.0,16.0,1.0,4000.0,1.0,32000.0,0.0,0.0,47579.0
29,3.8,2.0,4.0,0.0,0.0,0.0,0.0,1.0,4000.0,7150.0
30,3.2,2.0,4.0,1.0,1024.0,1.0,4000.0,0.0,0.0,5790.0
31,3.6,6.0,12.0,1.0,3000.0,1.0,16000.0,0.0,0.0,16478.0
32,3.6,8.0,16.0,0.0,0.0,1.0,16000.0,0.0,0.0,54573.0
34,3.1,8.0,16.0,0.0,0.0,1.0,16000.0,0.0,0.0,52664.0
