,clock,core,thread,is_L2,L2,is_L3,L3,is_smart_cache,smart_cache,PRICE
0,2.0,24.0,48.0,0.0,0.0,1.0,64000.0,0.0,0.0,156639.0
1,2.0,32.0,64.0,0.0,0.0,1.0,64000.0,0.0,0.0,311299.0
2,2.1,8.0,16.0,0.0,0.0,1.0,32000.0,0.0,0.0,98779.0
3,2.2,16.0,32.0,0.0,0.0,1.0,64000.0,0.0,0.0,81399.0
4,2.2,32.0,64.0,0.0,0.0,1.0,64000.0,0.0,0.0,711259.0
5,2.3,24.0,48.0,0.0,0.0,1.0,64000.0,0.0,0.0,426689.0
6,2.4,16.0,32.0,0.0,0.0,1.0,64000.0,0.0,0.0,109999.0
7,3.0,8.0,16.0,1.0,4000.0,1.0,16000.0,0.0,0.0,30327.0
8,3.0,24.0,48.0,1.0,12000.0,1.0,64000.0,0.0,0.0,76978.0
9,3.0,32.0,64.0,1.0,16000.0,1.0,64000.0,0.0,0.0,183130.0
10,3.1,4.0,4.0,1.0,2000.0,1.0,8000.0,0.0,0.0,9949.0
11,3.2,2.0,4.0,1.0,1024.0,1.0,4000.0,0.0,0.0,5256.0
12,3.2,6.0,12.0,1.0,3000.0,1.0,16000.0,0.0,0.0,13398.0
13,3.2,8.0,16.0,1.0,4000.0,1.0,16000.0,0.0,0.0,19700.0
14,3.4,2.0,4.0,1.0,1000.0,1.0,4000.0,0.0,0.0,6688.0
15,3.4,6.0,12.0,1.0,3000.0,1.0,16000.0,0.0,0.0,15070.0
16,3.4,8.0,16.0,1.0,4000.0,1.0,16000.0,0.0,0.0,18518.0
17,3.4,16.0,32.0,1.0,8000.0,1.0,32000.0,0.0,0.0,67800.0
18,3.5,2.0,4.0,1.0,1000.0,1.0,4000.0,0.0,0.0,7088.0
19,3.5,4.0,4.0,1.0,2000.0,1.0,4000.0,0.0,0.0,11480.0
20,3.5,4.0,4.0,1.0,2000.0,1.0,8000.0,0.0,0.0,11136.0
21,3.5,4.0,8.0,1.0,2000.0,1.0,16000.0,0.0,0.0,14347.0
22,3.5,12.0,24.0,1.0,6000.0,1.0,32000.0,0.0,0.0,26741.0
23,3.5,16.0,32.0,1.0,8000.0,1.0,32000.0,0.0,0.0,65978.0
24,3.6,4.0,4.0,1.0,2000.0,1.0,4000.0,0.0,0.0,12578.0
25,3.6,4.0,8.0,1.0,2000.0,1.0,4000.0,0.0,0.0,16480.0
26,3.6,6.0,12.0,1.0,3000.0,1.0,16000.0,0.0,0.0,16553.0
27,3.6,6.0,12.0,1.0,3000.0,1.0,32000.0,0.0,0.0,24368.0
28,3.6,8.0,16.0,1.0,4000.0,1.0,16000.0,0.0,0.0,21250.0
29,3.6,8.0,16.0,1.0,4000.0,1.0,32000.0,0.0,0.0,40730.0
30,3.7,4.0,8.0,1.0,2000.0,1.0,4000.0,0.0,0.0,19480.0
31,3.7,8.0,16.0,1.0,4000.0,1.0,16000.0,0.0,0.0,23480.0
32,3.7,32.0,64.0,1.0,16000.0,1.0,128000.0,0.0,0.0,252500.0
33,3.8,6.0,12.0,1.0,3000.0,1.0,32000.0,0.0,0.0,29173.0
34,3.8,8.0,16.0,1.0,4000.0,1.0,16000.0,0.0,0.0,20822.0
35,3.8,12.0,24.0,1.0,6000.0,1.0,64000.0,0.0,0.0,62315.0
36,3.8,24.0,48.0,1.0,12000.0,1.0,128000.0,0.0,0.0,177800.0
37,3.9,8.0,16.0,1.0,4000.0,1.0,32000.0,0.0,0.0,47575.0
