0,ASUS PH-GTX1650-O4G [PCIExp 4GB],https://kakaku.com/item/K0001152734/,NVIDIA GeForceGTX1650,896,4.0,128.0,8.002,PCIExpress3.0,14780
1,MSI Radeon RX 5700 XT EVOKE OC [PCIExp 8GB],https://kakaku.com/item/K0001183627/,AMD RadeonRX5700XT,2560,8.0,256.0,14.0,PCIExpress4.0x16,46928
2,MSI GeForce GTX 1660 Ti AERO ITX 6G OC [PCIExp 6GB],https://kakaku.com/item/K0001134000/,NVIDIA GeForceGTX1660Ti,1536,6.0,192.0,12.0,PCIExpress3.0x16,29654
3,SAPPHIRE SAPPHIRE PULSE RADEON RX 570 8G GDDR5 DUAL HDMI/DUAL DP OC W/BP (UEFI) 11266-66-23G [PCIExp 8GB],https://kakaku.com/item/K0001169299/,AMD RadeonRX570,2048,8.0,256.0,7.0,PCIExpress3.0x16,17160
4,MSI GeForce GTX 1660 AERO ITX 6G OC-JP [PCIExp 6GB],https://kakaku.com/item/K0001217230/,NVIDIA GeForceGTX1660,1408,6.0,192.0,8.0,PCIExpress3.0x16,24200
5,MSI GeForce RTX 2070 SUPER GAMING X TRIO [PCIExp 8GB],https://kakaku.com/item/K0001187167/,NVIDIA GeForceRTX2070SUPER,2560,8.0,256.0,14.0,PCIExpress3.0x16,69843
6,MSI Radeon RX 580 ARMOR 8G OC [PCIExp 8GB],https://kakaku.com/item/K0001132779/,AMD RadeonRX580,2304,8.0,256.0,8.0,PCIExpress3.0x16,17355
7,MSI Radeon RX Vega 64 Air Boost 8G OC [PCIExp 8GB],https://kakaku.com/item/K0001056814/,AMD RadeonRXVega64,4096,8.0,2048.0,0.945,PCIExpress3.0x16,30780
8,MSI GeForce RTX 2070 SUPER VENTUS OC [PCIExp 8GB],https://kakaku.com/item/K0001174639/,NVIDIA GeForceRTX2070SUPER,2560,8.0,256.0,14.0,PCIExpress3.0x16,61600
9,MSI GEFORCE RTX2060 GAMING 6G [PCIExp 6GB] NTT-X Store限定モデル,https://kakaku.com/item/K0001177148/,NVIDIA GeForceRTX2060,1920,6.0,192.0,14.0,PCIExpress3.0x16,37980
10,MSI GeForce GTX 1650 AERO ITX 4G OC [PCIExp 4GB],https://kakaku.com/item/K0001152736/,NVIDIA GeForceGTX1650,896,4.0,128.0,8.0,PCIExpress3.0x16,15268
11,Palit Microsystems NE6207SS19P2-1040J (GeForce RTX2070 SUPER JS 8GB) [PCIExp 8GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0001173640/,NVIDIA GeForceRTX2070SUPER,2560,8.0,256.0,14.0,PCIExpress3.0x16,56980
12,SAPPHIRE SAPPHIRE NITRO+ RADEON RX 5700 XT 8G GDDR6 DUAL HDMI/DUAL DP OC (UEFI) [PCIExp 8GB],https://kakaku.com/item/K0001195293/,AMD RadeonRX5700XT,2560,8.0,256.0,14.0,PCIExpress4.0x16,48277
13,MSI GeForce GTX 1660 Ti GAMING X 6G [PCIExp 6GB],https://kakaku.com/item/K0001133999/,NVIDIA GeForceGTX1660Ti,1536,6.0,192.0,12.0,PCIExpress3.0x16,36980
14,MSI GeForce RTX 2080 Ti GAMING X TRIO [PCIExp 11GB],https://kakaku.com/item/K0001082416/,NVIDIA GeForceRTX2080Ti,4352,11.0,352.0,14.0,PCIExpress3.0x16,155628
15,玄人志向 GALAKURO GAMING GG-GTX1660SP-E6GB/DF [PCIExp 6GB],https://kakaku.com/item/K0001206481/,NVIDIA GeForceGTX1660SUPER,1408,6.0,192.0,14.0,PCIExpress3.0x16,26922
16,MSI Radeon RX 570 ARMOR 8G [PCIExp 8GB],https://kakaku.com/item/K0001117123/,AMD RadeonRX570,2048,8.0,256.0,7.0,PCIExpressx16,14980
17,玄人志向 GF-GTX1050Ti-E4GB/SF/P [PCIExp 4GB],https://kakaku.com/item/K0001176957/,NVIDIA GeForceGTX1050Ti,768,4.0,128.0,7.0,PCIExpress3.0x16,12078
18,MSI GT 1030 2G LP OC [PCIExp 2GB],https://kakaku.com/item/K0000965888/,NVIDIA GeForceGT1030,384,2.0,64.0,6.008,PCIExpress3.0x4 接続スロット：PCI-Expressx16,8910
19,MSI GeForce GTX 1050 Ti 4G OCV2 [PCIExp 4GB],https://kakaku.com/item/K0001180831/,NVIDIA GeForceGTX1050Ti,768,4.0,128.0,7.008,PCIExpress3.0x16,12884
20,MSI GeForce GTX 1660 SUPER AERO ITX OC [PCIExp 6GB],https://kakaku.com/item/K0001206480/,NVIDIA GeForceGTX1660SUPER,1408,6.0,192.0,14.0,PCIExpress3.0x16,26844
21,MSI GeForce GTX 1660 SUPER VENTUS XS OC [PCIExp 6GB],https://kakaku.com/item/K0001206479/,NVIDIA GeForceGTX1660SUPER,1408,6.0,192.0,14.0,PCIExpress3.0x16,27821
22,MSI GeForce RTX 2080 SUPER GAMING TRIO [PCIExp 8GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0001212834/,NVIDIA GeForceRTX2080SUPER,3072,8.0,256.0,15.5,PCIExpress3.0x16,84980
