,SP,m_cap,m_bus,m_clock,PRICE
0,160.0,1.0,64.0,1.334,3638.0
1,160.0,2.0,64.0,1.0,4880.0
2,512.0,2.0,128.0,6.0,7260.0
3,640.0,2.0,128.0,6.0,9570.0
4,896.0,2.0,128.0,6.0,9328.0
5,896.0,4.0,128.0,7.0,14278.0
6,1024.0,2.0,128.0,6.0,9579.0
7,1408.0,4.0,128.0,14.0,25080.0
8,1408.0,8.0,128.0,14.0,28138.0
9,2048.0,4.0,256.0,1.75,16500.0
10,2048.0,4.0,256.0,7.0,21450.0
11,2048.0,8.0,256.0,7.0,14980.0
12,2304.0,8.0,256.0,2.0,52668.0
13,2304.0,8.0,256.0,7.0,24263.0
14,2304.0,8.0,256.0,8.0,17355.0
15,2304.0,8.0,256.0,8.4,34480.0
16,2304.0,8.0,256.0,14.0,39700.0
17,2560.0,8.0,256.0,14.0,45991.0
18,2560.0,8.0,256.0,14.4,65780.0
19,3584.0,8.0,2048.0,0.8,40188.0
20,3840.0,16.0,4096.0,1.0,91185.0
21,4096.0,8.0,2048.0,0.945,30780.0
22,4096.0,8.0,2048.0,1.9,60549.0
