,SP,m_cap,m_bus,m_clock,PRICE
0,192.0,1.0,32.0,5.012,4125.0
1,192.0,1.0,64.0,1.0,3311.0
2,192.0,1.0,64.0,1.6,3498.0
3,192.0,1.0,64.0,5.0,3422.0
4,192.0,2.0,64.0,1.0,4089.0
5,192.0,2.0,64.0,1.6,4200.0
6,192.0,2.0,64.0,2.5,4580.0
7,192.0,2.0,64.0,5.012,5283.0
8,384.0,1.0,64.0,1.8,12635.0
9,384.0,2.0,64.0,5.0,6094.0
10,384.0,2.0,64.0,6.0,8514.0
11,384.0,2.0,64.0,6.007999999999999,8280.0
12,640.0,2.0,128.0,7.007999999999999,11880.0
13,768.0,4.0,128.0,3.5,16628.0
14,768.0,4.0,128.0,7.0,11992.0
15,768.0,4.0,128.0,7.007999999999999,11091.0
16,768.0,4.0,128.0,7.108,30350.0
17,896.0,4.0,128.0,8.0,14278.0
18,896.0,4.0,128.0,8.002,16298.0
19,1152.0,3.0,192.0,8.0,27517.0
20,1152.0,3.0,192.0,8.008,33308.0
21,1280.0,4.0,128.0,12.0,19800.0
22,1280.0,4.0,128.0,12.002,21402.0
23,1280.0,6.0,192.0,8.0,32619.0
24,1280.0,6.0,192.0,8.008,27478.0
25,1280.0,6.0,192.0,8.107999999999999,32634.0
26,1280.0,6.0,192.0,8.208,50897.0
27,1408.0,6.0,192.0,8.0,24728.0
28,1408.0,6.0,192.0,8.002,23524.0
29,1408.0,6.0,192.0,8.008,25048.0
30,1408.0,6.0,192.0,14.0,25080.0
31,1408.0,6.0,192.0,14.002,26497.0
32,1536.0,6.0,192.0,12.0,28800.0
33,1536.0,6.0,192.0,12.002,29678.0
34,1920.0,6.0,192.0,14.0,34430.0
35,1920.0,6.0,192.0,14.14,55952.0
36,1920.0,8.0,256.0,8.008,62399.0
37,2048.0,4.0,256.0,7.01,71279.0
38,2176.0,8.0,256.0,14.0,44800.0
39,2304.0,8.0,256.0,14.0,49478.0
40,2304.0,8.0,256.0,14.142000000000001,83283.0
41,2432.0,8.0,256.0,8.0,58119.0
42,2432.0,8.0,256.0,8.008,68200.0
43,2560.0,8.0,256.0,14.0,56078.0
44,2560.0,8.0,256.0,15.5,79750.0
45,2944.0,8.0,256.0,14.0,76978.0
46,2944.0,8.0,256.0,14.14,109796.0
47,2944.0,8.0,256.0,14.4,79444.0
48,3072.0,8.0,256.0,15.5,78101.0
49,3584.0,11.0,352.0,11.0,99880.0
50,4352.0,11.0,352.0,7.0,207548.0
51,4352.0,11.0,352.0,14.0,131470.0
52,4352.0,11.0,352.0,14.14,178107.0
53,4352.0,11.0,352.0,14.4,180873.0
54,4352.0,11.0,352.0,14.8,208800.0
