,name,url,chip_name,chip_maker,SP,m_cap,m_bus,m_clock,bus_interface,PRICE
0,玄人志向 RD-R5-230-E1GB/HS [PCIExp 1GB],https://kakaku.com/item/K0001130126/,AMD RadeonR5230,AMD,160.0,1.0,64.0,1.334,PCIExpress2.1x16,3480.0
1,玄人志向 RD-R5-230-E2GB/HS [PCIExp 2GB],https://kakaku.com/item/K0001117732/,AMD RadeonR5230,AMD,160.0,2.0,64.0,1.0,PCIExpress2.1x16,5148.0
2,ASUS GT710-SL-1GD5-BRK [PCIExp 1GB],https://kakaku.com/item/K0001006893/,NVIDIA GeForceGT710,NVIDIA,192.0,1.0,32.0,5.012,PCIExpress2.0,4125.0
3,玄人志向 GF-GT710-E1GB/HS [PCIExp 1GB],https://kakaku.com/item/K0001127556/,NVIDIA GeForceGT710,NVIDIA,192.0,1.0,64.0,1.0,PCIExpress2.0x16,3311.0
4,MSI GT 710 1GD3H LP [PCIExp 1GB],https://kakaku.com/item/K0000849553/,NVIDIA GeForceGT710,NVIDIA,192.0,1.0,64.0,1.6,PCIExpress2.0x8 接続スロット：PCI-Expressx16,3498.0
5,玄人志向 GF-GT710-E1GB/LP/P [PCIExp 1GB],https://kakaku.com/item/K0001205037/,NVIDIA GeForceGT710,NVIDIA,192.0,1.0,64.0,5.0,PCIExpress2.0x8 接続スロット：PCI-Expressx16,3422.0
6,玄人志向 GF-GT710-E2GB/HS [PCIExp 2GB],https://kakaku.com/item/K0001173594/,NVIDIA GeForceGT710,NVIDIA,192.0,2.0,64.0,1.0,PCIExpress2.0x16,4089.0
7,玄人志向 GF-GT710-E2GB/LP/P [PCIExp 2GB],https://kakaku.com/item/K0001205036/,NVIDIA GeForceGT710,NVIDIA,192.0,2.0,64.0,1.6,PCIExpress2.0x8,4200.0
8,Palit Microsystems NE5T7100HD46-2087F (GeForce GT710 2GB) [PCIExp 2GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0001217659/,NVIDIA GeForceGT710,NVIDIA,192.0,2.0,64.0,2.5,PCIExpress2.0x8,4580.0
9,ASUS GT710-SL-2GD5-BRK [PCIExp 2GB],https://kakaku.com/item/K0000977925/,NVIDIA GeForceGT710,NVIDIA,192.0,2.0,64.0,5.012,PCIExpress2.0,5283.0
10,玄人志向 GF-QUAD-DISP/4DVI/LP [PCIExp 1GB],https://kakaku.com/item/K0000701499/,NVIDIA GeForceGT730(64-bitDDR3),NVIDIA,384.0,1.0,64.0,1.8,PCIExpressx8,12635.0
11,MSI N730K-2GD5LP/OCV1 [PCIExp 2GB],https://kakaku.com/item/K0000943365/,NVIDIA GeForceGT730(64-bitGDDR5),NVIDIA,384.0,2.0,64.0,5.0,PCIExpress2.0,6094.0
12,Palit Microsystems NE5103000646-1080F (GeForce GT 1030 2GB LP) [PCIExp 2GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0000967476/,NVIDIA GeForceGT1030,NVIDIA,384.0,2.0,64.0,6.0,PCIExpress3.0x16,8514.0
13,ASUS GT1030-SL-2G-BRK [PCIExp 2GB],https://kakaku.com/item/K0000969293/,NVIDIA GeForceGT1030,NVIDIA,384.0,2.0,64.0,6.007999999999999,PCIExpress3.0,8280.0
14,玄人志向 RD-RX550-E2GB/OC [PCIExp 2GB],https://kakaku.com/item/K0001029982/,AMD RadeonRX550,AMD,512.0,2.0,128.0,6.0,PCIExpress3.0x16,7464.0
15,SAPPHIRE SAPPHIRE PULSE RADEON RX 550 2G GDDR5 HDMI/DVI-D/DP (UEFI) V2 [PCIExp 2GB],https://kakaku.com/item/K0001213716/,AMD RadeonRX550,AMD,640.0,2.0,128.0,6.0,PCIExpress3.0x16,9570.0
16,Manli M-NGTX1050/5R8HDP [PCIExp 2GB],https://kakaku.com/item/K0000918262/,NVIDIA GeForceGTX1050,NVIDIA,640.0,2.0,128.0,7.007999999999999,PCIExpress3.0x16,11880.0
17,Palit Microsystems NE5105T018G1-1070H (GeForce GTX1050Ti 4GB KalmX) [PCIExp 4GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0000943628/,NVIDIA GeForceGTX1050Ti,NVIDIA,768.0,4.0,128.0,3.5,PCIExpressx16,16628.0
18,玄人志向 GF-GTX1050Ti-E4GB/SF/P [PCIExp 4GB],https://kakaku.com/item/K0001176957/,NVIDIA GeForceGTX1050Ti,NVIDIA,768.0,4.0,128.0,7.0,PCIExpress3.0x16,11992.0
19,玄人志向 GF-GTX1050Ti-E4GB/DF3 [PCIExp 4GB],https://kakaku.com/item/K0001173593/,NVIDIA GeForceGTX1050Ti,NVIDIA,768.0,4.0,128.0,7.007999999999999,PCIExpress3.0x16,11091.0
20,MSI GeForce GTX 1050 Ti GAMING X 4G [PCIExp 4GB],https://kakaku.com/item/K0000919131/,NVIDIA GeForceGTX1050Ti,NVIDIA,768.0,4.0,128.0,7.108,PCIExpress3.0x16,30350.0
21,ASRock Phantom Gaming Radeon RX560 2G [PCIExp 2GB],https://kakaku.com/item/K0001067652/,AMD RadeonRX560(14ユニット),AMD,896.0,2.0,128.0,6.0,PCIExpress3.0x8 接続スロット：PCI-Expressx16,9328.0
22,ASRock Phantom Gaming Radeon RX560 4G [PCIExp 4GB],https://kakaku.com/item/K0001112484/,AMD RadeonRX560(14ユニット),AMD,896.0,4.0,128.0,7.0,PCIExpress3.0x8 接続スロット：PCI-Expressx16,14278.0
23,玄人志向 GF-GTX1650-E4GB/OC/DF [PCIExp 4GB],https://kakaku.com/item/K0001152723/,NVIDIA GeForceGTX1650,NVIDIA,896.0,4.0,128.0,8.0,PCIExpress3.0x16,14278.0
24,ASUS PH-GTX1650-O4G [PCIExp 4GB],https://kakaku.com/item/K0001152734/,NVIDIA GeForceGTX1650,NVIDIA,896.0,4.0,128.0,8.002,PCIExpress3.0,16298.0
25,玄人志向 RD-RX560-E2GB/OC REV2.0 [PCIExp 2GB],https://kakaku.com/item/K0001045284/,AMD RadeonRX560,AMD,1024.0,2.0,128.0,6.0,PCIExpress3.0x8 接続スロット：PCI-Expressx16,9579.0
26,Colorful GTX1060 NB 3G [PCIExp 3GB],https://kakaku.com/item/K0001054365/,NVIDIA GeForceGTX1060,NVIDIA,1152.0,3.0,192.0,8.0,PCIExpress3.0x16,27517.0
27,玄人志向 GF-GTX1060-3GB/OC/DF [PCIExp 3GB],https://kakaku.com/item/K0000902697/,NVIDIA GeForceGTX1060,NVIDIA,1152.0,3.0,192.0,8.008,PCIExpress3.0x16,33308.0
28,Palit Microsystems NE6165S018G1-166F (GeForce GTX 1650 SUPER StormX 4GB) [PCIExp 4GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0001214579/,NVIDIA GeForceGTX1650SUPER,NVIDIA,1280.0,4.0,128.0,12.0,PCIExpress3.0x16,19800.0
29,ASUS PH-GTX1650S-O4G [PCIExp 4GB],https://kakaku.com/item/K0001214539/,NVIDIA GeForceGTX1650SUPER,NVIDIA,1280.0,4.0,128.0,12.002,PCIExpress3.0,21402.0
30,Colorful GTX1060 NB 6G [PCIExp 6GB],https://kakaku.com/item/K0001041080/,NVIDIA GeForceGTX1060,NVIDIA,1280.0,6.0,192.0,8.0,PCIExpress3.0x16,32619.0
31,玄人志向 GF-GTX1060-E6GB/GD5X [PCIExp 6GB],https://kakaku.com/item/K0001114650/,NVIDIA GeForceGTX1060,NVIDIA,1280.0,6.0,192.0,8.008,PCIExpress3.0x16,27478.0
32,MSI GTX 1060 GAMING X 6G [PCIExp 6GB],https://kakaku.com/item/K0000895014/,NVIDIA GeForceGTX1060,NVIDIA,1280.0,6.0,192.0,8.107999999999999,PCIExpress3.0x16,32634.0
33,ASUS ROG STRIX-GTX1060-O6G-GAMING [PCIExp 6GB],https://kakaku.com/item/K0000895411/,NVIDIA GeForceGTX1060,NVIDIA,1280.0,6.0,192.0,8.208,PCIExpress3.0x16,50897.0
