,capacity_sum,generation,PRICE
1,32.0,4.0,14980.0
2,16.0,3.0,5676.0
3,32.0,4.0,13409.0
4,32.0,4.0,10980.0
5,16.0,4.0,5980.0
6,32.0,4.0,11980.0
7,16.0,4.0,6350.0
8,8.0,3.0,2840.0
9,16.0,4.0,7591.0
10,4.0,3.0,1460.0
11,32.0,4.0,21980.0
12,8.0,4.0,3160.0
13,16.0,4.0,6460.0
14,8.0,3.0,2800.0
15,8.0,3.0,3190.0
16,16.0,4.0,6115.0
17,4.0,3.0,1497.0
18,16.0,4.0,7469.0
19,16.0,4.0,7199.0
20,16.0,4.0,6716.0
21,16.0,4.0,6480.0
22,32.0,4.0,12799.0
23,8.0,3.0,2889.0
24,32.0,4.0,11980.0
25,8.0,4.0,3278.0
26,32.0,4.0,14774.0
27,32.0,4.0,14796.0
28,4.0,4.0,1947.0
29,8.0,4.0,3478.0
30,32.0,4.0,12359.0
31,8.0,3.0,2790.0
32,16.0,4.0,6480.0
33,32.0,4.0,12200.0
34,4.0,3.0,1540.0
35,16.0,4.0,6580.0
36,32.0,4.0,11880.0
37,4.0,4.0,2080.0
38,16.0,3.0,5827.0
39,16.0,4.0,6198.0
40,8.0,4.0,3580.0
41,32.0,4.0,13178.0
42,32.0,4.0,19100.0
43,16.0,4.0,5980.0
44,32.0,4.0,15378.0
45,64.0,4.0,35850.0
46,4.0,3.0,1506.0
47,16.0,4.0,6908.0
48,32.0,4.0,16931.0
49,64.0,4.0,47905.0
50,16.0,4.0,6700.0
51,16.0,4.0,6908.0
52,8.0,4.0,3949.0
53,32.0,4.0,35990.0
54,4.0,3.0,2243.0
55,16.0,4.0,6870.0
56,16.0,4.0,13989.0
57,32.0,4.0,15964.0
58,8.0,4.0,3842.0
59,16.0,4.0,6050.0
60,16.0,4.0,11234.0
61,32.0,4.0,13178.0
62,16.0,4.0,7898.0
63,8.0,4.0,3150.0
64,8.0,4.0,4980.0
65,4.0,4.0,2780.0
66,8.0,4.0,4278.0
67,16.0,4.0,7898.0
68,16.0,4.0,10100.0
69,64.0,4.0,36700.0
70,4.0,3.0,1860.0
71,8.0,4.0,3491.0
72,8.0,3.0,3758.0
73,16.0,3.0,5600.0
74,16.0,4.0,13981.0
75,32.0,4.0,18287.0
76,16.0,3.0,6130.0
77,16.0,4.0,7660.0
78,16.0,4.0,8280.0
79,16.0,4.0,10703.0
80,8.0,3.0,3080.0
81,16.0,4.0,6130.0
82,16.0,4.0,10978.0
83,32.0,4.0,20600.0
84,4.0,4.0,2393.0
85,8.0,3.0,3490.0
86,32.0,4.0,16980.0
87,4.0,3.0,2238.0
88,8.0,4.0,3580.0
89,8.0,4.0,3620.0
90,16.0,4.0,6646.0
91,16.0,4.0,7678.0
92,16.0,4.0,9644.0
93,16.0,4.0,10980.0
94,4.0,4.0,2090.0
95,8.0,3.0,2680.0
96,8.0,4.0,3990.0
97,16.0,4.0,7788.0
98,16.0,4.0,10970.0
