,name,url,capacity[GB],memory_num,capacity_sum,memory_standard,interface,module_standard,generation,PRICE
1,G.Skill F4-3600C19D-32GSXWB [DDR4 PC4-28800 16GB 2枚組],https://kakaku.com/item/K0001049471/,16.0,2.0,32.0,DDR4SDRAM,DIMM,PC4-28800(DDR4-3600),4.0,14980.0
2,CFD W3U1600PS-8G [DDR3 PC3-12800 8GB 2枚組],https://kakaku.com/item/K0000596705/,8.0,2.0,16.0,DDR3SDRAM,DIMM,PC3-12800(DDR3-1600),3.0,5676.0
3,crucial CT2K16G4DFD832A [DDR4 PC4-25600 16GB 2枚組],https://kakaku.com/item/K0001155279/,16.0,2.0,32.0,DDR4SDRAM,DIMM,PC4-25600(DDR4-3200),4.0,13409.0
4,UMAX UM-DDR4D-2666-32GBHS [DDR4 PC4-21300 16GB 2枚組],https://kakaku.com/item/K0001175366/,16.0,2.0,32.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,10980.0
5,G.Skill F4-2666C19D-16GNT [DDR4 PC4-21300 8GB 2枚組],https://kakaku.com/item/K0001042850/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,5980.0
6,ADATA AX4U3200316G16-DB10 [DDR4 PC4-25600 16GB 2枚組],https://kakaku.com/item/K0001163152/,16.0,2.0,32.0,DDR4SDRAM,DIMM,PC4-25600(DDR4-3200),4.0,11980.0
7,CFD W4U2666PS-8GC19 [DDR4 PC4-21300 8GB 2枚組],https://kakaku.com/item/K0001083493/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,6350.0
8,CFD D3N1600PS-L8G [SODIMM DDR3 PC3-12800 8GB],https://kakaku.com/item/K0000637117/,8.0,1.0,8.0,DDR3SDRAM,S.O.DIMM,PC3-12800(DDR3-1600),3.0,2840.0
9,G.Skill F4-3600C19D-16GSXWB [DDR4 PC4-28800 8GB 2枚組],https://kakaku.com/item/K0001049465/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-28800(DDR4-3600),4.0,7591.0
10,CFD D3N1600PS-L4G [SODIMM DDR3 PC3-12800 4GB],https://kakaku.com/item/K0000637116/,4.0,1.0,4.0,DDR3SDRAM,S.O.DIMM,PC3-12800(DDR3-1600),3.0,1460.0
11,G.Skill F4-3600C16D-32GTZNC [DDR4 PC4-28800 16GB 2枚組],https://kakaku.com/item/K0001180979/,16.0,2.0,32.0,DDR4SDRAM,DIMM,PC4-28800(DDR4-3600),4.0,21980.0
