0,read_speed,write_speed,PRICE
1,560.0,510.0,12980
2,560.0,510.0,6979
3,2000.0,1700.0,10980
4,540.0,500.0,3251
5,560.0,530.0,11466
6,5000.0,4400.0,20173
7,560.0,515.0,5368
8,1800.0,900.0,3480
9,550.0,510.0,9328
10,550.0,520.0,6989
11,560.0,510.0,4815
12,1700.0,1450.0,7590
14,555.0,515.0,3168
15,500.0,400.0,1949
16,560.0,530.0,6889
17,560.0,540.0,12078
18,560.0,450.0,8778
19,550.0,510.0,3600
20,3480.0,3000.0,14764
21,550.0,520.0,10826
22,3400.0,3000.0,14500
23,3470.0,2600.0,10978
25,520.0,450.0,3168
26,520.0,450.0,8998
27,520.0,450.0,4999
29,1800.0,1800.0,10980
30,1800.0,1800.0,22739
31,556.0,519.0,4980
32,540.0,540.0,19500
33,560.0,530.0,7040
34,2100.0,1600.0,10978
35,560.0,510.0,3608
36,560.0,530.0,24800
37,560.0,530.0,11990
38,5000.0,2500.0,12078
39,560.0,530.0,24860
40,560.0,530.0,6990
41,520.0,450.0,3058
42,560.0,530.0,12078
43,1800.0,1200.0,10980
45,550.0,525.0,4818
46,1900.0,950.0,7190
47,3480.0,2000.0,8580
49,1800.0,1200.0,10159
50,560.0,510.0,26912
51,3210.0,1315.0,6971
53,560.0,450.0,5038
54,3500.0,2100.0,7980
55,520.0,320.0,2090
56,560.0,540.0,7106
58,3500.0,3200.0,14989
59,560.0,530.0,55980
60,3470.0,2600.0,12848
61,550.0,500.0,10450
62,530.0,440.0,3514
63,556.0,515.0,2948
64,530.0,440.0,3520
65,1627.0,1262.0,3480
67,1624.0,1473.0,5980
68,560.0,520.0,6980
70,450.0,380.0,17099
71,3470.0,3000.0,22176
72,3500.0,3000.0,29348
73,500.0,350.0,3540
74,560.0,530.0,10321
76,3470.0,3000.0,23800
77,5000.0,4400.0,24148
79,540.0,500.0,2400
80,550.0,520.0,2980
81,550.0,500.0,6180
82,550.0,520.0,7489
83,535.0,450.0,11000
84,4950.0,4250.0,23980
85,560.0,530.0,57978
86,520.0,450.0,3293
87,350.0,300.0,6880
88,2200.0,2000.0,7460
89,3500.0,2350.0,8360
90,3230.0,1625.0,11684
91,550.0,450.0,3685
92,560.0,510.0,6569
93,540.0,540.0,9990
94,560.0,500.0,9480
96,560.0,530.0,6098
97,560.0,525.0,8778
98,3500.0,3300.0,27989
99,3100.0,1600.0,7204
100,540.0,500.0,2310
103,530.0,450.0,3704
104,560.0,500.0,4780
105,530.0,500.0,5567
106,1700.0,1300.0,5680
107,2000.0,1600.0,6578
108,560.0,540.0,29348
110,530.0,310.0,2506
111,530.0,450.0,4223
112,550.0,525.0,4818
113,500.0,450.0,5640
114,550.0,520.0,6350
115,550.0,500.0,21888
116,3500.0,2400.0,8580
117,3400.0,2900.0,46689
118,300.0,50.0,2943
119,520.0,450.0,3269
121,560.0,530.0,9328
122,560.0,530.0,26980
124,560.0,500.0,4380
125,560.0,510.0,4680
126,535.0,445.0,6041
127,1500.0,1000.0,7280
128,1000.0,1000.0,24524
130,2100.0,1200.0,4290
131,560.0,530.0,70400
132,530.0,400.0,2580
133,550.0,525.0,4910
134,3100.0,1050.0,5580
136,550.0,520.0,18312
137,5000.0,4400.0,52580
138,520.0,500.0,3200
139,535.0,445.0,6050
140,540.0,500.0,6270
142,540.0,500.0,5791
143,560.0,480.0,5979
144,340.0,300.0,13093
145,3500.0,2800.0,14280
146,540.0,500.0,3574
147,550.0,520.0,4980
148,3500.0,1200.0,5380
150,340.0,320.0,6679
152,560.0,520.0,7700
154,3500.0,3000.0,16378
155,500.0,480.0,3980
156,1500.0,1000.0,7480
157,520.0,500.0,8780
158,530.0,500.0,7700
159,560.0,510.0,12048
160,3230.0,1625.0,22980
161,560.0,530.0,59980
162,3500.0,1200.0,5025
163,3500.0,2300.0,9130
164,560.0,470.0,9480
165,3400.0,2500.0,12480
166,560.0,500.0,2933
167,520.0,450.0,5608
168,560.0,530.0,8888
169,560.0,510.0,12375
170,550.0,420.0,2525
172,550.0,520.0,3934
173,560.0,500.0,5280
174,1500.0,1300.0,6680
175,560.0,510.0,7342
176,560.0,530.0,7480
177,500.0,430.0,8244
178,560.0,530.0,12980
179,4950.0,4250.0,48180
180,550.0,440.0,4614
181,530.0,500.0,6459
182,540.0,500.0,6580
183,560.0,530.0,7980
184,540.0,500.0,9980
185,1000.0,950.0,11183
187,560.0,520.0,12980
188,3400.0,2900.0,49800
189,570.0,450.0,70109
190,550.0,500.0,1980
191,550.0,400.0,4020
193,520.0,500.0,5240
194,440.0,430.0,6908
195,340.0,320.0,11480
196,520.0,450.0,12921
198,540.0,540.0,23358
199,520.0,450.0,5299
200,525.0,465.0,5680
202,530.0,450.0,6600
203,530.0,500.0,9350
204,520.0,460.0,9980
205,3200.0,2000.0,10459
207,550.0,520.0,17198
208,560.0,530.0,18458
210,3500.0,3000.0,34800
212,440.0,430.0,6908
213,550.0,520.0,12074
214,440.0,430.0,12800
215,550.0,520.0,21186
217,560.0,530.0,36798
218,530.0,400.0,2280
219,550.0,500.0,2780
220,560.0,500.0,2980
221,520.0,320.0,3550
222,340.0,320.0,4169
223,550.0,525.0,4939
224,550.0,480.0,5469
225,3400.0,1500.0,6980
226,560.0,530.0,7669
227,3400.0,2000.0,8250
228,550.0,400.0,10556
229,5000.0,2500.0,15178
231,560.0,530.0,18128
232,15000.0,15000.0,217316
233,530.0,310.0,2530
234,550.0,500.0,2728
235,550.0,400.0,2980
236,1500.0,1000.0,3980
237,550.0,525.0,5398
238,3500.0,1100.0,5480
239,1700.0,1500.0,6980
240,540.0,540.0,7560
241,440.0,430.0,8144
242,3400.0,2000.0,9328
243,560.0,530.0,13979
244,1000.0,900.0,15558
245,4950.0,2500.0,15980
246,560.0,530.0,18313
247,560.0,520.0,26980
248,550.0,520.0,30534
249,3480.0,2700.0,35980
250,560.0,510.0,37049
251,500.0,320.0,2450
252,400.0,300.0,2849
253,300.0,50.0,3002
255,410.0,400.0,3480
256,560.0,500.0,3780
257,340.0,320.0,4169
258,421.6,370.0,4200
259,900.0,145.0,4565
260,3000.0,1000.0,4950
262,1640.0,650.0,5380
263,550.0,400.0,5780
264,1350.0,290.0,6980
265,1730.0,1560.0,7920
267,520.0,450.0,9900
270,530.0,490.0,10971
271,540.0,490.0,10980
272,560.0,530.0,11183
273,560.0,280.0,11220
274,560.0,320.0,11480
275,570.0,460.0,13856
276,3480.0,2000.0,14237
277,440.0,430.0,14319
278,560.0,490.0,15510
279,3470.0,2750.0,18370
280,1600.0,1300.0,21832
282,560.0,530.0,27800
284,3500.0,3300.0,59636
285,500.0,470.0,61749
286,560.0,530.0,3065
288,1700.0,1500.0,3480
289,421.6,370.0,4336
290,440.0,430.0,4680
291,520.0,500.0,5478
292,530.0,500.0,6480
293,560.0,520.0,8510
294,550.0,500.0,11800
296,500.0,430.0,13505
297,1450.0,640.0,13640
298,3200.0,2000.0,14239
299,560.0,530.0,14650
301,3400.0,3000.0,15980
303,550.0,500.0,24750
304,3400.0,2800.0,24800
305,560.0,530.0,29480
306,950.0,950.0,31322
308,3230.0,1625.0,44780
309,540.0,540.0,49800
310,2500.0,2000.0,71599
311,2600.0,2200.0,79420
312,2600.0,2200.0,157600
313,754.0,635.0,1078000
315,421.6,370.0,2979
316,550.0,490.0,4510
317,1730.0,1000.0,4730
318,300.0,200.0,4737
319,550.0,525.0,5080
320,550.0,525.0,5910
321,550.0,500.0,6780
324,300.0,200.0,7749
327,530.0,500.0,9599
328,3420.0,2015.0,10010
329,520.0,450.0,10164
330,3500.0,2350.0,13600
332,550.0,520.0,18312
333,3200.0,2100.0,22000
334,1450.0,640.0,26790
335,560.0,530.0,27977
336,560.0,520.0,30250
337,3480.0,3080.0,30927
338,1600.0,1400.0,32800
339,560.0,530.0,37179
340,550.0,470.0,38280
341,520.0,500.0,38953
342,3470.0,2750.0,42680
343,3400.0,2900.0,49800
344,5000.0,4400.0,56223
345,560.0,510.0,91690
346,560.0,480.0,1990
347,550.0,450.0,1999
348,530.0,400.0,2015
349,510.0,400.0,2480
350,300.0,50.0,3085
351,530.0,450.0,3263
352,560.0,400.0,3348
353,550.0,510.0,3350
354,410.0,400.0,3480
355,410.0,400.0,3507
356,560.0,460.0,3546
357,560.0,400.0,3549
358,530.0,490.0,3575
359,2000.0,1200.0,4279
361,560.0,510.0,4939
362,520.0,500.0,5477
363,530.0,450.0,5480
365,530.0,450.0,7370
366,560.0,310.0,7582
367,1500.0,1300.0,7700
368,112.0,90.0,8800
369,3100.0,1050.0,9142
370,440.0,430.0,9780
371,110.0,95.0,10230
372,115.0,64.0,10593
373,550.0,500.0,11000
374,430.0,410.0,11765
375,560.0,460.0,11970
376,450.0,440.0,13765
378,3430.0,2230.0,14493
380,410.0,400.0,17941
381,520.0,460.0,19480
382,540.0,540.0,19500
386,560.0,510.0,26970
388,530.0,460.0,35309
389,550.0,520.0,38949
391,2500.0,2000.0,46749
392,560.0,530.0,61091
393,550.0,520.0,66183
394,520.0,450.0,2780
395,421.6,370.0,2979
396,440.0,430.0,3280
397,500.0,410.0,3344
398,421.6,370.0,3365
399,520.0,320.0,3470
400,530.0,490.0,3822
401,450.0,80.0,3980
402,350.0,350.0,4280
403,550.0,500.0,4767
404,560.0,520.0,4780
405,520.0,460.0,4980
406,530.0,400.0,4980
407,560.0,510.0,5323
408,550.0,480.0,5360
410,550.0,500.0,5480
412,560.0,510.0,5590
413,410.0,400.0,5698
414,560.0,500.0,5940
415,119.0,36.0,6393
416,560.0,460.0,6396
418,550.0,520.0,6511
420,370.0,200.0,6784
421,555.0,510.0,6882
422,3000.0,1000.0,7238
423,533.0,476.0,7570
424,560.0,500.0,7680
425,550.0,490.0,7700
426,421.6,370.0,7880
428,560.0,530.0,7980
429,350.0,300.0,8392
430,520.0,500.0,8780
431,400.0,320.0,8793
433,3400.0,2000.0,8980
434,410.0,400.0,9090
435,410.0,400.0,9090
436,550.0,480.0,9105
437,550.0,520.0,9368
438,421.6,370.0,9572
440,3090.0,1040.0,9775
441,1500.0,900.0,9900
442,560.0,510.0,10900
443,520.0,450.0,10978
445,3400.0,2000.0,11982
446,540.0,500.0,12199
447,550.0,525.0,12210
448,560.0,500.0,12480
449,3400.0,2000.0,12480
450,950.0,900.0,12980
452,560.0,310.0,12980
453,1050.0,950.0,13480
454,570.0,460.0,13500
455,340.0,300.0,13585
456,340.0,300.0,13720
457,300.0,200.0,13970
458,530.0,460.0,13978
459,550.0,490.0,14410
460,560.0,500.0,14480
461,560.0,500.0,14707
462,560.0,530.0,14962
463,560.0,520.0,15080
464,3400.0,2500.0,15090
465,560.0,320.0,16280
468,410.0,400.0,17941
469,410.0,400.0,17941
470,530.0,460.0,18971
472,500.0,430.0,20668
473,560.0,460.0,20980
474,430.0,420.0,21640
475,1050.0,950.0,21980
476,450.0,440.0,21985
477,950.0,800.0,22126
478,560.0,460.0,22387
479,1000.0,950.0,22663
480,360.0,360.0,24170
481,570.0,460.0,24980
482,560.0,510.0,25885
483,3430.0,3230.0,27816
484,540.0,520.0,28480
485,3000.0,2400.0,29409
487,3200.0,2100.0,31416
488,3200.0,1900.0,32500
489,3400.0,2800.0,32791
490,530.0,510.0,33329
491,530.0,500.0,35800
492,560.0,530.0,36646
493,550.0,520.0,40830
494,570.0,460.0,45980
496,3500.0,2100.0,88198
497,500.0,300.0,1995
498,560.0,410.0,2256
499,560.0,310.0,2590
500,530.0,450.0,2805
501,230.0,40.0,2819
502,550.0,480.0,3269
503,560.0,510.0,3290
505,560.0,440.0,3480
506,520.0,320.0,3550
507,560.0,300.0,4050
508,400.0,380.0,4179
509,560.0,460.0,4180
510,350.0,350.0,4280
512,546.0,182.0,4549
514,1700.0,1500.0,4580
515,340.0,320.0,4580
516,300.0,200.0,4737
517,1520.0,460.0,4875
519,421.6,370.0,4938
520,400.0,390.0,4968
521,520.0,500.0,5120
522,550.0,525.0,5155
523,530.0,460.0,5267
524,1500.0,1000.0,5280
525,530.0,500.0,5375
527,3000.0,1000.0,5480
530,400.0,320.0,5594
531,1500.0,800.0,5695
532,410.0,400.0,5697
533,410.0,400.0,5698
534,560.0,480.0,5780
536,525.0,500.0,5863
537,560.0,460.0,5880
538,110.0,95.0,5940
539,560.0,520.0,6110
540,520.0,450.0,6115
541,570.0,470.0,6202
542,520.0,450.0,6460
543,500.0,450.0,6498
545,520.0,460.0,6850
546,490.0,460.0,6854
547,560.0,520.0,7020
548,1570.0,540.0,7038
549,110.0,95.0,7480
550,430.0,400.0,7678
552,400.0,390.0,7968
553,400.0,400.0,7980
554,3000.0,1000.0,7980
555,550.0,500.0,8118
556,550.0,500.0,8127
557,550.0,490.0,8319
558,350.0,300.0,8414
559,350.0,350.0,8580
