,hdd_ssd,capacity,read_speed,write_speed,PRICE
0,1,16.0,570.0,470.0,4730
1,1,16.0,900.0,145.0,4565
2,1,32.0,110.0,45.0,4730
3,1,32.0,110.0,95.0,5940
4,1,32.0,119.0,36.0,6393
5,1,32.0,230.0,40.0,2819
6,1,32.0,500.0,280.0,5820
7,1,32.0,500.0,450.0,3035
8,1,32.0,560.0,160.0,4481
9,1,32.0,560.0,310.0,2590
10,1,32.0,560.0,460.0,2832
11,1,32.0,570.0,470.0,6202
12,1,32.0,1350.0,290.0,6980
13,1,50.0,80.0,50.0,156720
14,1,50.0,140.0,18.0,140032
15,1,58.0,1450.0,640.0,13640
16,1,64.0,110.0,72.0,7150
17,1,64.0,110.0,95.0,7480
18,1,64.0,115.0,64.0,10593
19,1,64.0,270.0,95.0,5350
20,1,64.0,400.0,90.0,4461
21,1,64.0,450.0,80.0,3980
22,1,64.0,500.0,280.0,8200
23,1,64.0,500.0,450.0,4054
24,1,64.0,550.0,400.0,2980
25,1,64.0,550.0,520.0,5775
26,1,64.0,560.0,160.0,7447
27,1,64.0,560.0,310.0,4138
28,1,64.0,560.0,460.0,4180
29,1,64.0,570.0,470.0,8087
30,1,80.0,250.0,70.0,41638
31,1,118.0,1450.0,640.0,26790
32,1,120.0,300.0,50.0,2943
33,1,120.0,340.0,200.0,4796
34,1,120.0,340.0,320.0,3380
35,1,120.0,350.0,60.0,5907
36,1,120.0,350.0,350.0,3780
37,1,120.0,380.0,340.0,10428
38,1,120.0,400.0,300.0,2849
39,1,120.0,400.0,390.0,3276
40,1,120.0,400.0,400.0,10780
41,1,120.0,410.0,400.0,3480
42,1,120.0,415.0,340.0,9929
43,1,120.0,421.6,370.0,2979
44,1,120.0,470.0,450.0,7150
45,1,120.0,500.0,300.0,1995
46,1,120.0,500.0,320.0,2450
47,1,120.0,500.0,400.0,1949
48,1,120.0,500.0,450.0,8456
49,1,120.0,510.0,400.0,2480
50,1,120.0,520.0,200.0,10280
51,1,120.0,520.0,320.0,2090
52,1,120.0,520.0,450.0,2780
53,1,120.0,520.0,460.0,4980
54,1,120.0,525.0,500.0,5863
55,1,120.0,530.0,310.0,2506
56,1,120.0,530.0,400.0,2015
57,1,120.0,540.0,500.0,2310
58,1,120.0,550.0,350.0,3800
59,1,120.0,550.0,410.0,6138
60,1,120.0,550.0,440.0,3795
61,1,120.0,550.0,450.0,1999
62,1,120.0,550.0,500.0,1980
63,1,120.0,555.0,510.0,6882
64,1,120.0,557.0,507.0,11769
65,1,120.0,560.0,370.0,5990
66,1,120.0,560.0,410.0,2256
67,1,120.0,560.0,460.0,3272
68,1,120.0,560.0,480.0,1990
69,1,120.0,560.0,500.0,2933
70,1,120.0,560.0,530.0,3065
71,1,120.0,1520.0,460.0,4875
72,1,128.0,80.0,60.0,14448
73,1,128.0,110.0,95.0,10230
74,1,128.0,112.0,90.0,8800
75,1,128.0,119.0,93.0,40770
76,1,128.0,270.0,200.0,293500
77,1,128.0,400.0,400.0,5934
78,1,128.0,410.0,380.0,27986
79,1,128.0,440.0,430.0,3280
80,1,128.0,500.0,450.0,6498
81,1,128.0,520.0,460.0,8380
82,1,128.0,530.0,400.0,2280
83,1,128.0,530.0,490.0,3575
84,1,128.0,540.0,190.0,7700
85,1,128.0,546.0,182.0,4549
86,1,128.0,550.0,170.0,6347
87,1,128.0,550.0,400.0,4020
88,1,128.0,550.0,420.0,2525
89,1,128.0,550.0,440.0,4614
90,1,128.0,550.0,500.0,2728
91,1,128.0,550.0,520.0,9391
92,1,128.0,555.0,500.0,6379
93,1,128.0,560.0,160.0,10794
94,1,128.0,560.0,300.0,4050
95,1,128.0,560.0,310.0,7582
96,1,128.0,560.0,400.0,3348
97,1,128.0,560.0,460.0,6396
98,1,128.0,560.0,480.0,5780
99,1,128.0,560.0,500.0,2980
100,1,128.0,560.0,510.0,2390
101,1,128.0,560.0,520.0,3580
102,1,128.0,570.0,470.0,11386
103,1,128.0,770.0,450.0,9069
104,1,128.0,1640.0,650.0,5380
105,1,128.0,1700.0,1500.0,3480
106,1,128.0,1850.0,570.0,14778
107,1,160.0,530.0,450.0,2805
108,1,160.0,754.0,635.0,1078000
109,1,200.0,150.0,35.0,472883
110,1,240.0,300.0,200.0,4737
111,1,240.0,340.0,320.0,4169
112,1,240.0,350.0,350.0,4280
113,1,240.0,360.0,360.0,18864
114,1,240.0,380.0,340.0,26784
115,1,240.0,400.0,380.0,4179
116,1,240.0,400.0,390.0,4968
117,1,240.0,400.0,400.0,12780
118,1,240.0,410.0,400.0,5697
119,1,240.0,415.0,340.0,7770
120,1,240.0,421.6,370.0,4200
121,1,240.0,430.0,430.0,17710
122,1,240.0,450.0,450.0,12660
123,1,240.0,490.0,460.0,6854
124,1,240.0,500.0,260.0,29480
125,1,240.0,500.0,350.0,3540
126,1,240.0,500.0,410.0,3344
127,1,240.0,500.0,430.0,8244
128,1,240.0,500.0,450.0,10487
129,1,240.0,500.0,480.0,3980
130,1,240.0,520.0,400.0,17280
131,1,240.0,520.0,450.0,3058
132,1,240.0,520.0,460.0,6850
133,1,240.0,520.0,500.0,3200
134,1,240.0,530.0,420.0,9878
135,1,240.0,530.0,440.0,3514
136,1,240.0,530.0,450.0,3263
137,1,240.0,530.0,460.0,5267
138,1,240.0,530.0,470.0,5780
139,1,240.0,540.0,500.0,3251
140,1,240.0,540.0,530.0,19405
141,1,240.0,550.0,440.0,8800
142,1,240.0,550.0,480.0,3269
143,1,240.0,550.0,490.0,4510
144,1,240.0,550.0,500.0,4767
145,1,240.0,550.0,510.0,3600
146,1,240.0,550.0,520.0,2980
147,1,240.0,550.0,530.0,5483
148,1,240.0,555.0,470.0,4139
149,1,240.0,560.0,280.0,11220
150,1,240.0,560.0,320.0,16280
151,1,240.0,560.0,440.0,3459
152,1,240.0,560.0,500.0,4780
153,1,240.0,560.0,510.0,3290
154,1,240.0,560.0,520.0,9328
155,1,240.0,570.0,310.0,8980
156,1,240.0,570.0,460.0,13500
157,1,240.0,750.0,700.0,9980
158,1,240.0,800.0,700.0,9183
159,1,240.0,950.0,550.0,12800
160,1,240.0,1000.0,800.0,9235
161,1,240.0,1050.0,950.0,9680
162,1,240.0,1400.0,750.0,15710
163,1,240.0,1500.0,800.0,5695
164,1,240.0,1500.0,1000.0,3980
165,1,240.0,1580.0,920.0,6875
166,1,240.0,1600.0,700.0,12800
