id,clock,core,thread,is_L2,L2,is_L3,L3,is_smart_cache,smart_cache,SP,m_cap,m_bus,m_clock,capacity,generation,rpm(0)/read(1),cache(0)/write(1),score
1,2.4,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,6.0,128.0,128.0,400.0,1.024,1.0,7200.0,2000.0,56846.0
3,2.4,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,6.0,128.0,128.0,400.0,1.024,1.0,7200.0,2000.0,54812.0
8,1.4,1.0,1.0,1.0,1000.0,0.0,0.0,0.0,0.0,6.0,128.0,128.0,600.0,0.512,0.0,5400.0,512.0,31021.0
17,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,12.0,256.0,256.0,680.0,2.0469999999999997,1.0,7200.0,8000.0,75618.0
27,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,12.0,256.0,256.0,730.0,1.024,1.0,7200.0,8000.0,74334.0
31,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,12.0,256.0,256.0,730.0,1.024,1.0,7200.0,8000.0,80314.0
33,2.8,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,7.0,64.0,128.0,500.0,1.023,1.0,7200.0,2000.0,45154.0
40,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2000.0,5.0,128.0,128.0,400.0,0.256,1.0,7200.0,2000.0,32202.0
48,1.6,4.0,4.0,1.0,2000.0,0.0,0.0,0.0,0.0,5.0,64.0,64.0,332.0,2.048,1.0,7200.0,8000.0,38141.0
51,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,12.0,256.0,256.0,730.0,1.024,1.0,7200.0,8000.0,69775.0
57,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,7.0,128.0,256.0,850.0,1.023,1.0,7200.0,8000.0,55308.0
61,2.4,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,5.0,64.0,128.0,400.0,0.384,0.0,5400.0,2000.0,39304.0
63,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,7.0,256.0,256.0,850.0,1.536,1.0,7200.0,2000.0,60128.0
66,1.6,4.0,4.0,1.0,2000.0,0.0,0.0,0.0,0.0,12.0,128.0,256.0,620.0,0.512,1.0,7200.0,2000.0,58629.0
69,1.4,1.0,1.0,1.0,1000.0,0.0,0.0,0.0,0.0,5.0,128.0,128.0,400.0,0.512,0.0,7200.0,2000.0,28743.0
103,2.8,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,6.0,128.0,128.0,400.0,0.256,1.0,7200.0,2000.0,44900.0
104,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,5.0,128.0,128.0,400.0,1.023,1.0,7200.0,8000.0,42747.0
106,2.4,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,6.0,128.0,128.0,648.0,1.024,1.0,7200.0,8000.0,43877.0
108,2.8,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,6.0,128.0,128.0,400.0,0.256,1.0,7200.0,2000.0,48617.0
112,3.7,4.0,4.0,1.0,4000.0,0.0,0.0,0.0,0.0,2.0,16.0,64.0,133.0,0.256,1.0,7200.0,2000.0,19195.0
113,2.4,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,6.0,128.0,128.0,648.0,1.024,1.0,7200.0,8000.0,51818.0
115,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,7.0,128.0,256.0,850.0,2.048,1.0,7200.0,8000.0,60398.0
116,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,7.0,128.0,256.0,850.0,1.023,1.0,7200.0,8000.0,54037.0
121,2.8,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,2.0,64.0,64.0,332.0,0.512,1.0,7200.0,8000.0,40601.0
139,2.8,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,7.0,128.0,128.0,906.0,1.024,1.0,7200.0,8000.0,59687.0
145,2.4,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,6.0,128.0,128.0,400.0,0.512,1.0,7200.0,8000.0,45650.0
152,2.4,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,6.0,128.0,128.0,600.0,0.768,1.0,7200.0,2000.0,66739.0
156,1.6,4.0,4.0,1.0,2000.0,0.0,0.0,0.0,0.0,7.0,128.0,256.0,850.0,1.024,1.0,7200.0,8000.0,49829.0
161,2.8,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,12.0,128.0,256.0,620.0,0.256,1.0,7200.0,8000.0,63198.0
176,2.4,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,6.0,128.0,128.0,400.0,0.512,1.0,7200.0,8000.0,46809.0
180,1.4,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,5.0,64.0,128.0,500.0,0.512,0.0,7200.0,8000.0,38907.0
187,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,12.0,128.0,256.0,620.0,1.023,1.0,7200.0,8000.0,66425.0
188,2.4,1.0,1.0,1.0,128.0,0.0,0.0,0.0,0.0,2.0,64.0,64.0,400.0,0.512,1.0,7200.0,2000.0,32381.0
194,2.4,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,384.0,1024.0,128.0,5012.0,0.5760000000000001,1.0,5400.0,2000.0,25997.0
200,2.8,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,6.0,128.0,128.0,648.0,1.024,1.0,7200.0,2000.0,44426.0
218,2.8,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,6.0,64.0,64.0,500.0,1.024,1.0,7200.0,8000.0,46786.0
225,1.5,1.0,1.0,1.0,1000.0,0.0,0.0,0.0,0.0,64.0,512.0,256.0,1800.0,0.511,1.0,4200.0,8000.0,46210.0
228,2.8,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,6.0,128.0,128.0,400.0,0.512,1.0,7200.0,8000.0,50429.0
240,2.8,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,2304.0,8192.0,256.0,14000.0,0.511,1.0,7200.0,8000.0,40571.0
241,2.8,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,6.0,64.0,128.0,500.0,0.512,1.0,7200.0,2000.0,33714.0
244,2.8,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,6.0,128.0,128.0,400.0,1.023,1.0,7200.0,8000.0,44711.0
