,id,capacity,generation
0,1,1.024,1
1,2,0.248,1
2,3,1.024,1
3,4,1.024,1
4,6,1.024,1
5,8,0.512,0
6,9,1.024,1
7,11,0.512,0
8,12,1.016,0
9,13,1.024,1
10,14,1.023,1
11,15,0.512,0
12,16,2.048,1
13,17,2.047,1
14,18,2.048,1
15,20,0.256,
16,22,0.256,
17,23,1.536,
18,27,1.024,1
19,30,0.512,1
20,31,1.024,1
21,33,1.023,1
22,35,0.51,1
23,40,0.256,1
24,41,0.48,1
25,43,0.448,1
26,45,1.024,1
27,46,0.511,1
28,48,2.048,1
29,49,0.511,1
30,50,0.512,1
31,51,1.024,1
32,54,0.126,
33,55,0.255,0
34,57,1.023,1
35,58,1.024,1
36,61,0.384,0
37,63,1.536,1
38,66,0.512,1
39,67,1.023,1
40,69,0.512,0
41,71,1.024,1
42,76,0.512,1
43,78,1.024,
44,85,1.024,1
45,86,1.024,1
46,87,1.024,1
47,88,0.512,1
48,89,1.024,1
49,92,1.024,1
50,94,0.511,4
51,95,0.512,
52,96,0.512,
53,98,0.512,
54,101,0.127,
55,102,0.512,1
56,103,0.256,1
57,104,1.023,1
58,105,1.024,1
59,106,1.024,1
60,107,1.024,1
61,108,0.256,1
62,110,1.024,1
63,112,0.256,1
64,113,1.024,1
65,114,0.512,1
66,115,2.048,1
67,116,1.023,1
68,119,0.768,1
69,120,0.768,1
70,121,0.512,1
71,122,0.512,1
72,124,0.512,1
73,131,0.496,1
74,134,0.512,0
75,135,0.512,1
76,138,1.024,1
77,139,1.024,1
78,141,0.256,0
79,145,0.512,1
80,147,0.191,
81,151,1.024,1
82,152,0.768,1
83,153,0.512,1
84,156,1.024,1
85,157,0.248,0
86,161,0.256,1
87,162,0.512,1
88,164,0.512,1
89,165,0.512,
90,166,0.511,1
91,173,0.512,0
92,175,1.024,1
93,176,0.512,1
94,177,0.512,1
95,178,0.767,1
96,180,0.512,0
97,184,1.024,1
98,185,1.015,1
99,186,0.512,1
100,187,1.023,1
101,188,0.512,1
102,193,0.504,1
103,194,0.576,1
104,195,0.512,1
105,197,0.768,1
106,200,1.024,1
107,201,0.512,1
108,203,0.768,
109,204,1.024,1
110,211,0.512,
111,212,0.512,0
