,0,name,url,processor_name,maker,type,clock,max_clock,core,thread,is_L2,L2,is_L3,L3,is_smart_cache,smart_cache,PRICE
0,0,AMD Ryzen 5 3600 BOX,https://kakaku.com/item/K0001172062/,Ryzen53600,AMD,SocketAM4,3.6,4.2,6.0,12.0,1.0,3000.0,1.0,32000.0,0.0,0.0,24367.0
1,1,AMD Ryzen 7 3700X BOX,https://kakaku.com/item/K0001172060/,Ryzen73700X,AMD,SocketAM4,3.6,4.4,8.0,16.0,1.0,4000.0,1.0,32000.0,0.0,0.0,40730.0
2,2,AMD Ryzen 9 3950X BOX,https://kakaku.com/item/K0001172057/,Ryzen93950X,AMD,SocketAM4,3.5,4.7,16.0,32.0,1.0,8000.0,1.0,64000.0,0.0,0.0,97799.0
3,3,インテル Core i5 9400F BOX,https://kakaku.com/item/K0001126893/,Corei59400F (CoffeeLake-SRefresh),インテル,LGA1151,2.9,4.1,6.0,6.0,0.0,0.0,0.0,0.0,1.0,9000.0,17277.0
4,4,AMD Ryzen 9 3900X BOX,https://kakaku.com/item/K0001172058/,Ryzen93900X,AMD,SocketAM4,3.8,4.6,12.0,24.0,1.0,6000.0,1.0,64000.0,0.0,0.0,60800.0
5,5,AMD Ryzen 5 2600 BOX,https://kakaku.com/item/K0001047707/,Ryzen52600,AMD,SocketAM4,3.4,3.9,6.0,12.0,1.0,3000.0,1.0,16000.0,0.0,0.0,15070.0
6,6,インテル Core i9 9900K BOX,https://kakaku.com/item/K0001095747/,Corei99900K (CoffeeLake-SRefresh),インテル,LGA1151,3.6,5.0,8.0,16.0,0.0,0.0,0.0,0.0,1.0,16000.0,58959.0
7,7,インテル Core i7 9700K BOX,https://kakaku.com/item/K0001095746/,Corei79700K (CoffeeLake-SRefresh),インテル,LGA1151,3.6,4.9,8.0,8.0,0.0,0.0,0.0,0.0,1.0,12000.0,44580.0
8,8,インテル Core i3 9100F BOX,https://kakaku.com/item/K0001157347/,Corei39100F (CoffeeLake-SRefresh),インテル,LGA1151,3.6,4.2,4.0,4.0,0.0,0.0,0.0,0.0,1.0,6000.0,9217.0
9,9,AMD Ryzen 5 3400G BOX,https://kakaku.com/item/K0001172063/,Ryzen53400G,AMD,SocketAM4,3.7,4.2,4.0,8.0,1.0,2000.0,1.0,4000.0,0.0,0.0,19480.0
10,10,インテル Core i9 9900KS Special Edition BOX,https://kakaku.com/item/K0001207178/,Corei99900KS (CoffeeLakeRefresh),インテル,LGA1151,4.0,5.0,8.0,16.0,0.0,0.0,1.0,16000.0,0.0,0.0,65790.0
11,11,インテル Core i5 9400 BOX,https://kakaku.com/item/K0001158576/,Corei59400 (CoffeeLake-SRefresh),インテル,LGA1151,2.9,4.1,6.0,6.0,0.0,0.0,1.0,9000.0,0.0,0.0,22110.0
12,12,インテル Core i7 9700 BOX,https://kakaku.com/item/K0001165715/,Corei79700 (CoffeeLake),インテル,LGA1151,3.0,4.7,8.0,8.0,0.0,0.0,0.0,0.0,1.0,12000.0,40266.0
13,13,インテル Core i5 9600KF BOX,https://kakaku.com/item/K0001145323/,Corei59600KF (CoffeeLake-SRefresh),インテル,LGA1151,3.7,4.6,6.0,6.0,0.0,0.0,0.0,0.0,1.0,9000.0,22850.0
14,14,インテル Core i9 10980XE Extreme Edition BOX,https://kakaku.com/item/K0001217270/,Corei910980XE (CascadeLake),インテル,LGA2066,3.0,4.8,18.0,36.0,0.0,0.0,1.0,24750.0,0.0,0.0,147710.0
15,15,AMD Ryzen 3 3200G BOX,https://kakaku.com/item/K0001172064/,Ryzen33200G,AMD,SocketAM4,3.6,4.0,4.0,4.0,1.0,2000.0,1.0,4000.0,0.0,0.0,12577.0
16,16,インテル Core i3 9100 BOX,https://kakaku.com/item/K0001168066/,Corei39100 (CoffeeLake),インテル,LGA1151,3.6,4.2,4.0,4.0,0.0,0.0,1.0,6000.0,0.0,0.0,14762.0
17,17,インテル Core i5 9600K BOX,https://kakaku.com/item/K0001095745/,Corei59600K (CoffeeLake-SRefresh),インテル,LGA1151,3.7,4.6,6.0,6.0,0.0,0.0,0.0,0.0,1.0,9000.0,25608.0
18,18,AMD Ryzen 7 2700 BOX,https://kakaku.com/item/K0001047705/,Ryzen72700,AMD,SocketAM4,3.2,4.1,8.0,16.0,1.0,4000.0,1.0,16000.0,0.0,0.0,19699.0
19,19,インテル Pentium Gold G5420 BOX,https://kakaku.com/item/K0001187545/,PentiumGoldG5420 (CoffeeLake),インテル,LGA1151,3.8,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,4000.0,6960.0
20,20,AMD Ryzen Threadripper 1920X BOX,https://kakaku.com/item/K0000987817/,RyzenThreadripper1920X,AMD,SocketTR4,3.5,4.0,12.0,24.0,1.0,6000.0,1.0,32000.0,0.0,0.0,44439.0
21,21,AMD Athlon 200GE BOX,https://kakaku.com/item/K0001094966/,Athlon200GE,AMD,SocketAM4,3.2,0.0,2.0,4.0,1.0,1024.0,1.0,4000.0,0.0,0.0,5256.0
22,22,AMD Ryzen 5 3600X BOX,https://kakaku.com/item/K0001172061/,Ryzen53600X,AMD,SocketAM4,3.8,4.4,6.0,12.0,1.0,3000.0,1.0,32000.0,0.0,0.0,29173.0
23,23,インテル Core i9 9900KF BOX,https://kakaku.com/item/K0001145325/,Corei99900KF (CoffeeLake-SRefresh),インテル,LGA1151,3.6,5.0,8.0,16.0,0.0,0.0,0.0,0.0,1.0,16000.0,53122.0
24,24,インテル Core i7 9700F BOX,https://kakaku.com/item/K0001164119/,Corei79700F (CoffeeLake-SRefresh),インテル,LGA1151,3.0,4.7,8.0,8.0,0.0,0.0,0.0,0.0,1.0,12000.0,37378.0
25,25,インテル Pentium Gold G5400 BOX,https://kakaku.com/item/K0001045053/,PentiumGoldG5400 (CoffeeLake-S),インテル,LGA1151,3.7,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,4000.0,6680.0
26,26,インテル Core i9 10940X BOX,https://kakaku.com/item/K0001221362/,Corei910940X (CascadeLake),インテル,LGA2066,3.3,4.8,14.0,28.0,0.0,0.0,1.0,19250.0,0.0,0.0,102980.0
27,27,AMD Ryzen 7 2700X BOX,https://kakaku.com/item/K0001047704/,Ryzen72700X,AMD,SocketAM4,3.7,4.3,8.0,16.0,1.0,4000.0,1.0,16000.0,0.0,0.0,23469.0
28,28,インテル Core i9 10920X BOX,https://kakaku.com/item/K0001218982/,Corei910920X (CascadeLake),インテル,LGA2066,3.5,4.8,12.0,24.0,0.0,0.0,1.0,19250.0,0.0,0.0,94050.0
29,30,インテル Core i9 9900 BOX,https://kakaku.com/item/K0001167104/,Corei99900 (CoffeeLake),インテル,LGA1151,3.1,5.0,8.0,16.0,0.0,0.0,0.0,0.0,1.0,16000.0,52662.0
30,31,AMD Ryzen 7 3800X BOX,https://kakaku.com/item/K0001172059/,Ryzen73800X,AMD,SocketAM4,3.9,4.5,8.0,16.0,1.0,4000.0,1.0,32000.0,0.0,0.0,47573.0
31,32,AMD Ryzen 5 2400G BOX,https://kakaku.com/item/K0001031959/,Ryzen52400G,AMD,SocketAM4,3.6,3.9,4.0,8.0,1.0,2000.0,1.0,4000.0,0.0,0.0,16470.0
32,33,AMD Athlon 3000G BOX,https://kakaku.com/item/K0001213691/,Athlon3000G,AMD,SocketAM4,3.5,0.0,2.0,4.0,1.0,1000.0,1.0,4000.0,0.0,0.0,7678.0
