,index,name,url,hdd_ssd,capacity,rpm0/read1,cache0/write1,PRICE
0,0,WESTERN DIGITAL WD60EZAZ-RT [6TB SATA600 5400],https://kakaku.com/item/K0001133799/,0,6000.0,5400.0,256000.0,10946.0
1,1,SEAGATE ST8000DM004 [8TB SATA600 5400],https://kakaku.com/item/K0001026180/,0,8000.0,5400.0,256000.0,13900.0
2,2,SEAGATE ST4000DM004 [4TB SATA600 5400],https://kakaku.com/item/K0000983050/,0,4000.0,5400.0,256000.0,7558.0
3,3,WESTERN DIGITAL WD40EZRZ-RT2 [4TB SATA600 5400],https://kakaku.com/item/K0000927098/,0,4000.0,5400.0,64000.0,8550.0
4,4,WESTERN DIGITAL WD80EFAX [8TB SATA600 5400],https://kakaku.com/item/K0001058221/,0,8000.0,5400.0,256000.0,24939.0
5,5,SEAGATE ST6000DM003 [6TB SATA600 5400],https://kakaku.com/item/K0001026181/,0,6000.0,5400.0,256000.0,10599.0
6,6,東芝 DT01ACA200 [2TB SATA600 7200],https://kakaku.com/item/K0000406684/,0,2000.0,7200.0,64000.0,5551.0
7,7,東芝 DT01ACA100 [1TB SATA600 7200],https://kakaku.com/item/K0000391558/,0,1000.0,7200.0,32000.0,4023.0
8,8,WESTERN DIGITAL WD20EZAZ-RT [2TB SATA600 5400],https://kakaku.com/item/K0001098284/,0,2000.0,5400.0,256000.0,6356.0
9,9,東芝 MD05ACA800 [8TB SATA600 7200],https://kakaku.com/item/K0000964013/,0,8000.0,7200.0,128000.0,19136.0
10,10,WESTERN DIGITAL WD20EFAX-RT [2TB SATA600 5400],https://kakaku.com/item/K0001150830/,0,2000.0,5400.0,256000.0,9363.0
11,11,WESTERN DIGITAL WD40EFRX-RT2 [4TB SATA600 5400],https://kakaku.com/item/K0000927099/,0,4000.0,5400.0,64000.0,15912.0
12,12,WESTERN DIGITAL WD60EFAX-RT [6TB SATA600 5400],https://kakaku.com/item/K0001135667/,0,6000.0,5400.0,256000.0,22380.0
13,13,SEAGATE ST4000VN008 [4TB SATA600 5900],https://kakaku.com/item/K0000896131/,0,4000.0,5900.0,64000.0,12078.0
14,14,WESTERN DIGITAL WD10EZEX [1TB SATA600 7200],https://kakaku.com/item/K0000385373/,0,1000.0,7200.0,64000.0,5253.0
15,15,SEAGATE ST2000DM008 [2TB SATA600 7200],https://kakaku.com/item/K0001101158/,0,2000.0,7200.0,256000.0,6497.0
16,16,WESTERN DIGITAL WD30EFRX [3TB SATA600 5400],https://kakaku.com/item/K0000401036/,0,3000.0,5400.0,64000.0,10753.0
17,17,WESTERN DIGITAL WD40PURZ [4TB SATA600 5400],https://kakaku.com/item/K0000966644/,0,4000.0,5400.0,64000.0,11435.0
18,18,SEAGATE ST3000DM007 [3TB SATA600 5400],https://kakaku.com/item/K0001023197/,0,3000.0,5400.0,256000.0,7150.0
19,19,SEAGATE ST2000DM005 [2TB SATA600 5400],https://kakaku.com/item/K0001075415/,0,2000.0,5400.0,256000.0,5855.0
20,20,東芝 DT01ACA300 [3TB SATA600 7200],https://kakaku.com/item/K0000406683/,0,3000.0,7200.0,64000.0,7221.0
21,21,SEAGATE ST1000DM010 [1TB SATA600 7200],https://kakaku.com/item/K0000919026/,0,1000.0,7200.0,64000.0,4329.0
22,22,WESTERN DIGITAL WD82PURZ [8TB SATA600 7200],https://kakaku.com/item/K0001160217/,0,8000.0,7200.0,256000.0,24058.0
23,23,WESTERN DIGITAL WD120EFAX [12TB SATA600 5400],https://kakaku.com/item/K0001163678/,0,12000.0,5400.0,256000.0,44779.0
24,24,WESTERN DIGITAL WD100EFAX [10TB SATA600 5400],https://kakaku.com/item/K0000972162/,0,10000.0,5400.0,256000.0,39980.0
25,25,WESTERN DIGITAL WD30EZRZ-RT [3TB SATA600 5400],https://kakaku.com/item/K0000820181/,0,3000.0,5400.0,64000.0,7348.0
26,26,WESTERN DIGITAL WD60PURZ [6TB SATA600 5400],https://kakaku.com/item/K0000966645/,0,6000.0,5400.0,64000.0,18977.0
27,27,SEAGATE ST8000VN004 [8TB SATA600 7200],https://kakaku.com/item/K0001174592/,0,8000.0,7200.0,256000.0,24728.0
28,28,WESTERN DIGITAL WD20PURZ [2TB SATA600 5400],https://kakaku.com/item/K0000966642/,0,2000.0,5400.0,64000.0,7186.0
29,29,東芝 DT01ACA050 [500GB SATA600 7200],https://kakaku.com/item/K0000391560/,0,500.0,7200.0,32000.0,4036.0
30,30,SEAGATE ST500DM009 [500GB SATA600 7200],https://kakaku.com/item/K0000903571/,0,500.0,7200.0,32000.0,4639.0
31,31,WESTERN DIGITAL WD6003FZBX [6TB SATA600 7200],https://kakaku.com/item/K0001035975/,0,6000.0,7200.0,256000.0,26508.0
32,32,SEAGATE ST6000VN0033 [6TB SATA600 7200],https://kakaku.com/item/K0001026182/,0,6000.0,7200.0,256000.0,18947.0
33,33,WESTERN DIGITAL WD10PURZ [1TB SATA600 5400],https://kakaku.com/item/K0000966641/,0,1000.0,5400.0,64000.0,5777.0
34,34,SEAGATE ST16000VN001 [16TB SATA600 7200],https://kakaku.com/item/K0001177767/,0,16000.0,7200.0,256000.0,58980.0
35,35,WESTERN DIGITAL WD30PURZ [3TB SATA600 5400],https://kakaku.com/item/K0000966643/,0,3000.0,5400.0,64000.0,8954.0
36,36,SEAGATE ST8000VN0022 [8TB SATA600 7200],https://kakaku.com/item/K0000896129/,0,8000.0,7200.0,256000.0,22880.0
37,37,WESTERN DIGITAL WD4005FZBX [4TB SATA600 7200],https://kakaku.com/item/K0001035976/,0,4000.0,7200.0,256000.0,19841.0
38,38,WESTERN DIGITAL WD5000AZRZ-RT [500GB SATA600 5400],https://kakaku.com/item/K0000820665/,0,500.0,5400.0,64000.0,5250.0
39,39,WESTERN DIGITAL WD10EFRX [1TB SATA600 5400],https://kakaku.com/item/K0000401034/,0,1000.0,5400.0,64000.0,7867.0
40,40,SEAGATE ST2000VN004 [2TB SATA600 5900],https://kakaku.com/item/K0000896133/,0,2000.0,5900.0,64000.0,8930.0
41,41,WESTERN DIGITAL WD5000AAKX [500GB SATA600 7200],https://kakaku.com/item/K0000164534/,0,500.0,7200.0,16000.0,4277.0
42,42,WESTERN DIGITAL WD140EFFX [14TB SATA600 5400],https://kakaku.com/item/K0001215996/,0,14000.0,5400.0,512000.0,62600.0
43,43,SEAGATE ST3000VN007 [3TB SATA600 5900],https://kakaku.com/item/K0000896132/,0,3000.0,5900.0,64000.0,10098.0
44,44,WESTERN DIGITAL WD2005FBYZ [2TB SATA600 7200],https://kakaku.com/item/K0000922235/,0,2000.0,7200.0,128000.0,13457.0
45,45,SEAGATE ST1000VN002 [1TB SATA600 5900],https://kakaku.com/item/K0000896134/,0,1000.0,5900.0,64000.0,6813.0
46,46,WESTERN DIGITAL WD1003FZEX [1TB SATA600 7200],https://kakaku.com/item/K0000596579/,0,1000.0,7200.0,64000.0,7933.0
47,47,WESTERN DIGITAL HUS726T6TALE6L4 [6TB SATA600 7200],https://kakaku.com/item/K0001114936/,0,6000.0,7200.0,256000.0,28200.0
48,48,SEAGATE ST10000VN0004 [10TB SATA600 7200],https://kakaku.com/item/K0000896128/,0,10000.0,7200.0,256000.0,33980.0
49,49,SEAGATE ST12000VN0008 [12TB SATA600 7200],https://kakaku.com/item/K0001167551/,0,12000.0,7200.0,256000.0,39930.0
50,50,WESTERN DIGITAL WD121KRYZ [12TB SATA600 7200],https://kakaku.com/item/K0000999796/,0,12000.0,7200.0,256000.0,54937.0
51,51,WESTERN DIGITAL WD2500AAKX [250GB SATA600 7200],https://kakaku.com/item/K0000315145/,0,250.0,7200.0,16000.0,2769.0
52,52,SEAGATE ST14000VN0008 [14TB SATA600 7200],https://kakaku.com/item/K0001090643/,0,14000.0,7200.0,256000.0,49879.0
53,53,WESTERN DIGITAL WD141KRYZ [14TB SATA600 7200],https://kakaku.com/item/K0001207349/,0,14000.0,7200.0,512000.0,70706.0
54,54,HGST HUS722T2TALA604 [2TB SATA600 7200],https://kakaku.com/item/K0001051522/,0,2000.0,7200.0,128000.0,15239.0
55,55,WESTERN DIGITAL HUS726T4TALA6L4 [4TB SATA600 7200],https://kakaku.com/item/K0001114935/,0,4000.0,7200.0,256000.0,21349.0
56,56,WESTERN DIGITAL WD8004FRYZ [8TB SATA600 7200],https://kakaku.com/item/K0001207348/,0,8000.0,7200.0,256000.0,38055.0
57,57,WESTERN DIGITAL WD5000AZLX [500GB SATA600 7200],https://kakaku.com/item/K0000449787/,0,500.0,7200.0,32000.0,4799.0
58,58,HGST HUH721212ALE600 [12TB SATA600 7200],https://kakaku.com/item/K0000996123/,0,12000.0,7200.0,256000.0,54000.0
59,59,WESTERN DIGITAL WD4003FRYZ [4TB SATA600 7200],https://kakaku.com/item/K0001207347/,0,4000.0,7200.0,256000.0,21500.0
60,60,WESTERN DIGITAL WD6003FRYZ [6TB SATA600 7200],https://kakaku.com/item/K0001207346/,0,6000.0,7200.0,256000.0,29778.0
61,61,WESTERN DIGITAL WD60EFRX [6TB SATA600 5400],https://kakaku.com/item/K0000678035/,0,6000.0,5400.0,64000.0,29930.0
62,62,SEAGATE ST10000VN0008 [10TB SATA600 7200],https://kakaku.com/item/K0001167552/,0,10000.0,7200.0,256000.0,34800.0
63,63,WESTERN DIGITAL WD3200AAJS (320G SATA300 7200),https://kakaku.com/item/05302515805/,0,320.0,7200.0,8000.0,2800.0
64,64,WESTERN DIGITAL WD10EZRZ-RT [1TB SATA600 5400],https://kakaku.com/item/K0000820662/,0,1000.0,5400.0,64000.0,5929.0
65,65,WESTERN DIGITAL WD1005FBYZ [1TB SATA600 7200],https://kakaku.com/item/K0000952001/,0,1000.0,7200.0,128000.0,9880.0
