,0,name,url,chip_name,chip_maker,SP,m_cap,m_bus,m_clock,bus_interface,PRICE
0,190,ASUS GT710-SL-1GD5-BRK [PCIExp 1GB],https://kakaku.com/item/K0001006893/,NVIDIA GeForceGT710,NVIDIA,192.0,1000.0,32.0,5012.0,PCIExpress2.0,4059.0
1,101,玄人志向 GF-GT710-E1GB/HS [PCIExp 1GB],https://kakaku.com/item/K0001127556/,NVIDIA GeForceGT710,NVIDIA,192.0,1000.0,64.0,1000.0,PCIExpress2.0x16,3280.0
2,18,MSI GT 710 1GD3H LP [PCIExp 1GB],https://kakaku.com/item/K0000849553/,NVIDIA GeForceGT710,NVIDIA,192.0,1000.0,64.0,1600.0,PCIExpress2.0x8 接続スロット：PCI-Expressx16,3212.0
3,43,玄人志向 GF-GT710-E1GB/LP/P [PCIExp 1GB],https://kakaku.com/item/K0001205037/,NVIDIA GeForceGT710,NVIDIA,192.0,1000.0,64.0,5000.0,PCIExpress2.0x8 接続スロット：PCI-Expressx16,3380.0
4,139,玄人志向 GF-GT710-E2GB/HS [PCIExp 2GB],https://kakaku.com/item/K0001173594/,NVIDIA GeForceGT710,NVIDIA,192.0,2000.0,64.0,1000.0,PCIExpress2.0x16,4079.0
5,154,玄人志向 GF-GT710-E2GB/LP/P [PCIExp 2GB],https://kakaku.com/item/K0001205036/,NVIDIA GeForceGT710,NVIDIA,192.0,2000.0,64.0,1600.0,PCIExpress2.0x8,4180.0
6,231,Palit Microsystems NE5T7100HD46-2087F (GeForce GT710 2GB) [PCIExp 2GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0001217659/,NVIDIA GeForceGT710,NVIDIA,192.0,2000.0,64.0,2500.0,PCIExpress2.0x8,4578.0
7,121,ASUS GT710-SL-2GD5-BRK [PCIExp 2GB],https://kakaku.com/item/K0000977925/,NVIDIA GeForceGT710,NVIDIA,192.0,2000.0,64.0,5012.0,PCIExpress2.0,5000.0
8,320,玄人志向 GF-QUAD-DISP/4DVI/LP [PCIExp 1GB],https://kakaku.com/item/K0000701499/,NVIDIA GeForceGT730(64-bitDDR3),NVIDIA,384.0,1000.0,64.0,1800.0,PCIExpressx8,14355.0
9,134,Palit Microsystems NE5103000646-1080F (GeForce GT 1030 2GB LP) [PCIExp 2GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0000967476/,NVIDIA GeForceGT1030,NVIDIA,384.0,2000.0,64.0,6000.0,PCIExpress3.0x16,8728.0
10,253,GIGABYTE GV-N1030SL-2GL [PCIExp 2GB],https://kakaku.com/item/K0001002215/,NVIDIA GeForceGT1030,NVIDIA,384.0,2000.0,64.0,6008.0,PCIExpress3.0x16,7380.0
11,240,Manli M-NGTX1050/5R8HDP [PCIExp 2GB],https://kakaku.com/item/K0000918262/,NVIDIA GeForceGTX1050,NVIDIA,640.0,2000.0,128.0,7008.0,PCIExpress3.0x16,11880.0
12,77,Palit Microsystems NE5105T018G1-1070H (GeForce GTX1050Ti 4GB KalmX) [PCIExp 4GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0000943628/,NVIDIA GeForceGTX1050Ti,NVIDIA,768.0,4000.0,128.0,3500.0,PCIExpressx16,18012.0
13,51,玄人志向 GF-GTX1050Ti-E4GB/SF/P [PCIExp 4GB],https://kakaku.com/item/K0001176957/,NVIDIA GeForceGTX1050Ti,NVIDIA,768.0,4000.0,128.0,7000.0,PCIExpress3.0x16,12111.0
14,17,玄人志向 GF-GTX1050Ti-E4GB/DF3 [PCIExp 4GB],https://kakaku.com/item/K0001173593/,NVIDIA GeForceGTX1050Ti,NVIDIA,768.0,4000.0,128.0,7008.0,PCIExpress3.0x16,12078.0
15,376,MSI GeForce GTX 1050 Ti GAMING X 4G [PCIExp 4GB],https://kakaku.com/item/K0000919131/,NVIDIA GeForceGTX1050Ti,NVIDIA,768.0,4000.0,128.0,7108.0,PCIExpress3.0x16,30350.0
16,4,玄人志向 GF-GTX1650-E4GB/OC/DF [PCIExp 4GB],https://kakaku.com/item/K0001152723/,NVIDIA GeForceGTX1650,NVIDIA,896.0,4000.0,128.0,8000.0,PCIExpress3.0x16,15400.0
17,22,ASUS PH-GTX1650-O4G [PCIExp 4GB],https://kakaku.com/item/K0001152734/,NVIDIA GeForceGTX1650,NVIDIA,896.0,4000.0,128.0,8002.000000000001,PCIExpress3.0,15995.0
18,374,Colorful GTX1060 NB 3G [PCIExp 3GB],https://kakaku.com/item/K0001054365/,NVIDIA GeForceGTX1060,NVIDIA,1152.0,3000.0,192.0,8000.0,PCIExpress3.0x16,27478.0
19,271,ASUS PH-GTX1060-3G [PCIExp 3GB],https://kakaku.com/item/K0000985725/,NVIDIA GeForceGTX1060,NVIDIA,1152.0,3000.0,192.0,8007.999999999999,PCIExpress3.0,29592.0
20,65,Palit Microsystems NE6165S018G1-166F (GeForce GTX 1650 SUPER StormX 4GB) [PCIExp 4GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0001214579/,NVIDIA GeForceGTX1650SUPER,NVIDIA,1280.0,4000.0,128.0,12000.0,PCIExpress3.0x16,19800.0
21,63,ASUS PH-GTX1650S-O4G [PCIExp 4GB],https://kakaku.com/item/K0001214539/,NVIDIA GeForceGTX1650SUPER,NVIDIA,1280.0,4000.0,128.0,12002.0,PCIExpress3.0,21390.0
22,378,Colorful GTX1060 NB 6G [PCIExp 6GB],https://kakaku.com/item/K0001041080/,NVIDIA GeForceGTX1060,NVIDIA,1280.0,6000.0,192.0,8000.0,PCIExpress3.0x16,32619.0
23,192,玄人志向 GF-GTX1060-E6GB/GD5X [PCIExp 6GB],https://kakaku.com/item/K0001114650/,NVIDIA GeForceGTX1060,NVIDIA,1280.0,6000.0,192.0,8007.999999999999,PCIExpress3.0x16,26800.0
24,379,ASUS ROG STRIX-GTX1060-O6G-GAMING [PCIExp 6GB],https://kakaku.com/item/K0000895411/,NVIDIA GeForceGTX1060,NVIDIA,1280.0,6000.0,192.0,8208.0,PCIExpress3.0x16,32800.0
25,79,玄人志向 GALAKURO GAMING GG-GTX1660-E6GB/DF [PCIExp 6GB],https://kakaku.com/item/K0001171866/,NVIDIA GeForceGTX1660,NVIDIA,1408.0,6000.0,192.0,8000.0,PCIExpress3.0x16,24207.0
26,142,ASUS PH-GTX1660-O6G [PCIExp 6GB],https://kakaku.com/item/K0001140065/,NVIDIA GeForceGTX1660,NVIDIA,1408.0,6000.0,192.0,8002.000000000001,PCIExpress3.0,25051.0
27,232,玄人志向 GF-GTX1660-E6GB/OC/DF [PCIExp 6GB],https://kakaku.com/item/K0001139855/,NVIDIA GeForceGTX1660,NVIDIA,1408.0,6000.0,192.0,8007.999999999999,PCIExpress3.0x16,25048.0
28,6,MSI GeForce GTX 1660 SUPER AERO ITX OC [PCIExp 6GB],https://kakaku.com/item/K0001206480/,NVIDIA GeForceGTX1660SUPER,NVIDIA,1408.0,6000.0,192.0,14000.0,PCIExpress3.0x16,25691.0
