,SP,m_cap,m_bus,m_clock,PRICE
0,160.0,1000.0,64.0,1334.0,3544.0
1,160.0,2000.0,64.0,1000.0,5148.0
2,512.0,2000.0,128.0,6000.0,7018.0
3,640.0,2000.0,128.0,6000.0,10557.0
4,896.0,2000.0,128.0,6000.0,9328.0
5,896.0,4000.0,128.0,7000.0,14278.0
6,1024.0,2000.0,128.0,6000.0,9579.0
7,1408.0,4000.0,128.0,14000.0,21978.0
8,1408.0,8000.0,128.0,14000.0,24725.0
9,1408.0,8000.0,128.0,14400.0,31684.0
10,2048.0,4000.0,256.0,1750.0,36223.0
11,2048.0,4000.0,256.0,7000.0,15980.0
12,2048.0,8000.0,256.0,7000.0,17800.0
13,2304.0,6000.0,192.0,12000.0,37719.0
14,2304.0,6000.0,192.0,14000.0,38670.0
15,2304.0,8000.0,256.0,2000.0,36800.0
16,2304.0,8000.0,256.0,7000.0,24263.0
17,2304.0,8000.0,256.0,8000.0,20680.0
18,2304.0,8000.0,256.0,14000.0,36999.0
19,2560.0,8000.0,256.0,14000.0,46919.0
20,2560.0,8000.0,256.0,14400.0,65780.0
21,3584.0,8000.0,2048.0,800.0,49800.0
22,3840.0,16000.0,4096.0,1000.0,97156.0
23,4096.0,8000.0,2048.0,945.0,31980.0
