,SP,m_cap,m_bus,m_clock,PRICE
0,192.0,1000.0,32.0,5012.0,4059.0
1,192.0,1000.0,64.0,1000.0,3280.0
2,192.0,1000.0,64.0,1600.0,3212.0
3,192.0,1000.0,64.0,5000.0,3380.0
4,192.0,2000.0,64.0,1000.0,4079.0
5,192.0,2000.0,64.0,1600.0,4180.0
6,192.0,2000.0,64.0,2500.0,4578.0
7,192.0,2000.0,64.0,5012.0,5000.0
8,384.0,1000.0,64.0,1800.0,14355.0
9,384.0,2000.0,64.0,6000.0,8728.0
10,384.0,2000.0,64.0,6008.0,7380.0
11,640.0,2000.0,128.0,7008.0,11880.0
12,768.0,4000.0,128.0,3500.0,18012.0
13,768.0,4000.0,128.0,7000.0,12111.0
14,768.0,4000.0,128.0,7008.0,12078.0
15,768.0,4000.0,128.0,7108.0,30350.0
16,896.0,4000.0,128.0,8000.0,15400.0
17,896.0,4000.0,128.0,8002.000000000001,15995.0
18,1152.0,3000.0,192.0,8000.0,27478.0
19,1152.0,3000.0,192.0,8007.999999999999,29592.0
20,1280.0,4000.0,128.0,12000.0,19800.0
21,1280.0,4000.0,128.0,12002.0,21390.0
22,1280.0,6000.0,192.0,8000.0,32619.0
23,1280.0,6000.0,192.0,8007.999999999999,26800.0
24,1280.0,6000.0,192.0,8208.0,32800.0
25,1408.0,6000.0,192.0,8000.0,24207.0
26,1408.0,6000.0,192.0,8002.000000000001,25051.0
27,1408.0,6000.0,192.0,8007.999999999999,25048.0
28,1408.0,6000.0,192.0,14000.0,25691.0
29,1408.0,6000.0,192.0,14002.0,27270.0
30,1536.0,6000.0,192.0,12000.0,30580.0
31,1536.0,6000.0,192.0,12002.0,29678.0
32,1920.0,6000.0,192.0,14000.0,34628.0
33,1920.0,6000.0,192.0,14140.0,55952.0
34,1920.0,8000.0,256.0,8007.999999999999,62399.0
35,2048.0,4000.0,256.0,7010.0,71279.0
36,2176.0,8000.0,256.0,14000.0,44800.0
37,2304.0,8000.0,256.0,14000.0,40800.0
38,2304.0,8000.0,256.0,14142.0,68800.0
39,2432.0,8000.0,256.0,8000.0,58119.0
40,2432.0,8000.0,256.0,8007.999999999999,52806.0
41,2560.0,8000.0,256.0,14000.0,55273.0
42,2560.0,8000.0,256.0,15500.0,79750.0
43,2944.0,8000.0,256.0,14000.0,73400.0
44,2944.0,8000.0,256.0,14140.0,109796.0
45,2944.0,8000.0,256.0,14400.0,100980.0
46,3072.0,8000.0,256.0,15500.0,83002.0
47,4352.0,11000.0,352.0,14000.0,134200.0
48,4352.0,11000.0,352.0,14140.0,174974.0
49,4352.0,11000.0,352.0,14400.0,180873.0
