,SP,m_cap,m_bus,m_clock,PRICE
0,160.0,1000.0,64.0,1334.0,3480.0
1,160.0,2000.0,64.0,1000.0,5148.0
2,192.0,1000.0,32.0,5012.0,4213.0
3,192.0,1000.0,64.0,1000.0,3280.0
4,192.0,1000.0,64.0,1600.0,3498.0
5,192.0,1000.0,64.0,5000.0,3380.0
6,192.0,2000.0,64.0,1000.0,4079.0
7,192.0,2000.0,64.0,1600.0,4180.0
8,192.0,2000.0,64.0,2500.0,4580.0
9,192.0,2000.0,64.0,5012.0,5283.0
10,384.0,1000.0,64.0,1800.0,14355.0
11,384.0,2000.0,64.0,5000.0,6094.0
12,384.0,2000.0,64.0,6000.0,8514.0
13,384.0,2000.0,64.0,6008.0,7980.0
14,512.0,2000.0,128.0,6000.0,7260.0
15,640.0,2000.0,128.0,6000.0,9570.0
16,640.0,2000.0,128.0,7008.0,11880.0
17,768.0,4000.0,128.0,3500.0,11980.0
18,768.0,4000.0,128.0,7000.0,12628.0
19,768.0,4000.0,128.0,7008.0,12078.0
20,768.0,4000.0,128.0,7108.0,30350.0
21,896.0,2000.0,128.0,6000.0,9328.0
22,896.0,4000.0,128.0,7000.0,14278.0
23,896.0,4000.0,128.0,8000.0,14278.0
24,896.0,4000.0,128.0,8002.000000000001,15980.0
25,1024.0,2000.0,128.0,6000.0,9579.0
26,1152.0,3000.0,192.0,8000.0,27517.0
27,1152.0,3000.0,192.0,8007.999999999999,30809.0
28,1280.0,4000.0,128.0,12000.0,19800.0
29,1280.0,4000.0,128.0,12002.0,21402.0
30,1280.0,6000.0,192.0,8000.0,32619.0
31,1280.0,6000.0,192.0,8007.999999999999,27478.0
32,1280.0,6000.0,192.0,8108.000000000001,32634.0
33,1280.0,6000.0,192.0,8208.0,50897.0
34,1408.0,4000.0,128.0,14000.0,22000.0
35,1408.0,6000.0,192.0,8000.0,24728.0
36,1408.0,6000.0,192.0,8002.000000000001,23524.0
37,1408.0,6000.0,192.0,8007.999999999999,25048.0
38,1408.0,6000.0,192.0,14000.0,25581.0
39,1408.0,6000.0,192.0,14002.0,25038.0
40,1408.0,8000.0,128.0,14000.0,24725.0
41,1408.0,8000.0,128.0,14400.0,32534.0
42,1536.0,6000.0,192.0,12000.0,29595.0
43,1536.0,6000.0,192.0,12002.0,29678.0
44,1920.0,6000.0,192.0,14000.0,34430.0
45,1920.0,6000.0,192.0,14140.0,55952.0
46,1920.0,8000.0,256.0,8007.999999999999,62399.0
47,2048.0,4000.0,256.0,1750.0,19032.0
48,2048.0,4000.0,256.0,7000.0,20372.0
49,2048.0,4000.0,256.0,7010.0,71279.0
50,2048.0,8000.0,256.0,7000.0,18678.0
51,2176.0,8000.0,256.0,14000.0,44800.0
52,2304.0,8000.0,256.0,2000.0,52668.0
53,2304.0,8000.0,256.0,7000.0,24263.0
54,2304.0,8000.0,256.0,8000.0,18616.0
55,2304.0,8000.0,256.0,8400.0,34480.0
56,2304.0,8000.0,256.0,14000.0,38178.0
57,2304.0,8000.0,256.0,14142.0,83283.0
58,2432.0,8000.0,256.0,8000.0,58119.0
59,2432.0,8000.0,256.0,8007.999999999999,68200.0
60,2560.0,8000.0,256.0,14000.0,45890.0
61,2560.0,8000.0,256.0,14400.0,65780.0
62,2560.0,8000.0,256.0,15500.0,79750.0
63,2944.0,8000.0,256.0,14000.0,76978.0
64,2944.0,8000.0,256.0,14140.0,109796.0
65,2944.0,8000.0,256.0,14400.0,79444.0
66,3072.0,8000.0,256.0,15500.0,78101.0
67,3584.0,8000.0,2048.0,800.0,59197.0
68,3584.0,11000.0,352.0,11000.0,99880.0
69,3840.0,16000.0,4096.0,1000.0,97598.0
70,4096.0,8000.0,2048.0,945.0,29980.0
71,4096.0,8000.0,2048.0,1900.0,60048.0
72,4352.0,11000.0,352.0,14000.0,131470.0
73,4352.0,11000.0,352.0,14140.0,178107.0
74,4352.0,11000.0,352.0,14400.0,180873.0
75,4352.0,11000.0,352.0,14800.0,208800.0
