,index,name,url,capacity[GB],memory_num,capacity_sum,memory_standard,interface,module_standard,generation,PRICE
0,1404,ハギワラシスコム HS-BSZ64BF (SODIMM PC133 64MB),https://kakaku.com/item/05205012775/,0.064,1.0,0.064,SDRAM,S.O.DIMM,PC133(133MHz),0.0,4019.0
1,1114,IODATA SDIM133-128MZ (SODIMM PC133 128MB),https://kakaku.com/item/05206010616/,0.128,1.0,0.128,SDRAM,S.O.DIMM,PC133(133MHz),0.0,1480.0
2,1127,トランセンド TS16MSD64V3G (SODIMM PC2700 128MB),https://kakaku.com/item/05209010626/,0.128,1.0,0.128,DDRSDRAM,S.O.DIMM,PC2700(DDR333),1.0,1837.0
3,1091,IODATA SDIM133-S256MY (SODIMM PC133 256MB),https://kakaku.com/item/05206010508/,0.256,1.0,0.256,SDRAM,S.O.DIMM,PC133(133MHz),0.0,846.0
4,645,バッファロー DD333-256M (DDR PC2700 256MB),https://kakaku.com/item/05202010278/,0.256,1.0,0.256,DDRSDRAM,DIMM,PC2700(DDR333),1.0,180.0
5,1076,バッファロー D2/P533-256M (MICRODIMM DDR2 PC2-4200 256MB),https://kakaku.com/item/05202011571/,0.256,1.0,0.256,DDR2SDRAM,MicroDIMM,PC2-4200(DDR2-533),2.0,528.0
6,2319,トランセンド TS512MAPPB100 (SODIMM 512MB),https://kakaku.com/item/05209011121/,0.512,1.0,0.512,SDRAM,S.O.DIMM,0,0.0,10554.0
7,1072,ノーブランド DIMM DDR SDRAM PC3200 512MB CL3,https://kakaku.com/item/05200010007/,0.512,1.0,0.512,DDRSDRAM,DIMM,PC3200(DDR400),1.0,480.0
8,1070,ノーブランド SODIMM DDR2 512MB PC5300,https://kakaku.com/item/05200011531/,0.512,1.0,0.512,DDR2SDRAM,S.O.DIMM,0,2.0,399.0
9,649,バッファロー DN333-A1G (SODIMM DDR PC2700 1GB),https://kakaku.com/item/05202010959/,1.0,1.0,1.0,DDRSDRAM,S.O.DIMM,PC2700(DDR333),1.0,755.0
10,1075,ノーブランド SODIMM DDR2 1GB PC5300,https://kakaku.com/item/05200011530/,1.0,1.0,1.0,DDR2SDRAM,S.O.DIMM,0,2.0,500.0
11,1100,ノーブランド DIMM DDR3 SDRAM PC3-10600 1GB,https://kakaku.com/item/05200012219/,1.0,1.0,1.0,DDR3SDRAM,DIMM,PC3-10600(DDR3-1333),3.0,1150.0
12,1111,ARCHISS AS-333D-512-S3(X2) [DDR PC-2700 512MB 2枚組],https://kakaku.com/item/K0000155637/,0.512,2.0,1.024,DDRSDRAM,DIMM,PC2700(DDR333),1.0,1444.0
13,1135,バッファロー D2/N667-512MX2 (DDR2 PC2-5300 512MB 2枚組),https://kakaku.com/item/05202011657/,0.512,2.0,1.024,DDR2SDRAM,S.O.DIMM,PC2-5300(DDR2-667),2.0,1980.0
14,2103,Corsair VS2GBKIT400C3 [DDR PC-3200 1GB 2枚組],https://kakaku.com/item/K0000132997/,1.0,2.0,2.0,DDRSDRAM,0,PC3200(DDR400),1.0,8641.0
15,654,RAMMAX Technology RM-LD553-2GB [DDR2 PC2-4200 2GB],https://kakaku.com/item/K0001187116/,2.0,1.0,2.0,DDR2SDRAM,DIMM,PC2-4200(DDR2-533),2.0,1090.0
