,index,name,url,capacity[GB],memory_num,capacity_sum,memory_standard,interface,module_standard,generation,PRICE
0,0,CFD W4U2666CX1-8G [DDR4 PC4-21300 8GB 2枚組],https://kakaku.com/item/K0001202260/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,6721.0
1,1,G.Skill F4-3600C19D-32GSXWB [DDR4 PC4-28800 16GB 2枚組],https://kakaku.com/item/K0001049471/,16.0,2.0,32.0,DDR4SDRAM,DIMM,PC4-28800(DDR4-3600),4.0,15375.0
2,2,CFD W3U1600PS-8G [DDR3 PC3-12800 8GB 2枚組],https://kakaku.com/item/K0000596705/,8.0,2.0,16.0,DDR3SDRAM,DIMM,PC3-12800(DDR3-1600),3.0,6070.0
3,3,ADATA AX4U2666316G16-DBG [DDR4 PC4-21300 16GB 2枚組],https://kakaku.com/item/K0001163150/,16.0,2.0,32.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,11880.0
4,4,Corsair CMK16GX4M2A2666C16 [DDR4 PC4-21300 8GB 2枚組],https://kakaku.com/item/K0000799289/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,7459.0
5,5,G.Skill F4-2666C19D-16GNT [DDR4 PC4-21300 8GB 2枚組],https://kakaku.com/item/K0001042850/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,6880.0
6,6,CFD D3N1600PS-L8G [SODIMM DDR3 PC3-12800 8GB],https://kakaku.com/item/K0000637117/,8.0,1.0,8.0,DDR3SDRAM,S.O.DIMM,PC3-12800(DDR3-1600),3.0,3204.0
7,7,CFD D3N1600PS-L4G [SODIMM DDR3 PC3-12800 4GB],https://kakaku.com/item/K0000637116/,4.0,1.0,4.0,DDR3SDRAM,S.O.DIMM,PC3-12800(DDR3-1600),3.0,1637.0
8,8,crucial CT2K16G4DFD832A [DDR4 PC4-25600 16GB 2枚組],https://kakaku.com/item/K0001155279/,16.0,2.0,32.0,DDR4SDRAM,DIMM,PC4-25600(DDR4-3200),4.0,14980.0
9,9,CFD CFD Selection W4U3200CM-16G [DDR4 PC4-25600 16GB 2枚組],https://kakaku.com/item/K0001155291/,16.0,2.0,32.0,DDR4SDRAM,DIMM,PC4-25600(DDR4-3200),4.0,14800.0
10,10,CFD D3U1600PS-8G [DDR3 PC3-12800 8GB],https://kakaku.com/item/K0000761653/,8.0,1.0,8.0,DDR3SDRAM,DIMM,PC3-12800(DDR3-1600),3.0,3371.0
11,11,CFD W3U1600PS-4G [DDR3 PC3-12800 4GB 2枚組],https://kakaku.com/item/K0000596704/,4.0,2.0,8.0,DDR3SDRAM,DIMM,PC3-12800(DDR3-1600),3.0,3471.0
12,12,G.Skill F4-3600C19D-16GSXWB [DDR4 PC4-28800 8GB 2枚組],https://kakaku.com/item/K0001049465/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-28800(DDR4-3600),4.0,7480.0
13,13,ADATA AX4U266638G16-DBG [DDR4 PC4-21300 8GB 2枚組],https://kakaku.com/item/K0001163151/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,6980.0
14,14,CFD W4U2666CX1-16G [DDR4 PC4-21300 16GB 2枚組],https://kakaku.com/item/K0001202261/,16.0,2.0,32.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,12797.0
15,15,トランセンド JetRam JM2666HSB-8G [SODIMM DDR4 PC4-21300 8GB],https://kakaku.com/item/K0001104594/,8.0,1.0,8.0,DDR4SDRAM,S.O.DIMM,PC4-21300(DDR4-2666),4.0,3580.0
16,16,G.Skill F4-3600C16D-32GTZNC [DDR4 PC4-28800 16GB 2枚組],https://kakaku.com/item/K0001180979/,16.0,2.0,32.0,DDR4SDRAM,DIMM,PC4-28800(DDR4-3600),4.0,24990.0
17,17,CFD D3U1600PS-4G [DDR3 PC3-12800 4GB],https://kakaku.com/item/K0000761652/,4.0,1.0,4.0,DDR3SDRAM,DIMM,PC3-12800(DDR3-1600),3.0,1870.0
