0,CFD CSSD-S6B480CG3VX,https://kakaku.com/item/K0001132862/,480.0,550.0,510.0,2.5インチ,SerialATA6Gb/s,3DNANDTLC(TMCBiCSフラッシュ),7mm,5258
1,crucial P1 CT1000P1SSD8JP,https://kakaku.com/item/K0001101038/,1000.0,2000.0,1700.0,M.2(Type2280),PCI-Express,3DNAND,,12628
2,crucial MX500 CT500MX500SSD1/JP,https://kakaku.com/item/K0001028334/,500.0,560.0,510.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,6979
3,crucial MX500 CT1000MX500SSD1/JP,https://kakaku.com/item/K0001028335/,1000.0,560.0,510.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,13472
4,サムスン 860 EVO MZ-76E500B/IT,https://kakaku.com/item/K0001027990/,500.0,550.0,520.0,2.5インチ,SerialATA6Gb/s,V-NAND3bitMLC,6.8mm,7124
5,crucial BX500 CT240BX500SSD1JP,https://kakaku.com/item/K0001097406/,240.0,540.0,500.0,2.5インチ,SerialATA6Gb/s,3DNAND,7mm,3434
6,WESTERN DIGITAL WD Blue 3D NAND SATA WDS100T2B0A,https://kakaku.com/item/K0000969848/,1000.0,560.0,530.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,12250
7,サムスン 860 QVO MZ-76Q1T0B/IT,https://kakaku.com/item/K0001122056/,1000.0,550.0,520.0,2.5インチ,SerialATA6Gb/s,V-NAND4bitMLC,6.8mm,11450
8,レキサーメディア NS100 LNS100-256RBJP [グレー],https://kakaku.com/item/K0001168437/,256.0,520.0,,2.5インチ,SerialATA6Gb/s,TLCNAND,7mm,4480
9,Silicon Power PCIe Gen3x4 P34A80 SP001TBP34A80M28,https://kakaku.com/item/K0001153541/,1000.0,3400.0,3000.0,M.2(Type2280),PCI-Express,3DNAND,3.5mm,14500
10,WESTERN DIGITAL WD Blue SN500 NVMe WDS500G1B0C,https://kakaku.com/item/K0001140102/,500.0,1700.0,1450.0,M.2(Type2280),PCI-Express,3DNAND,2.38mm,7590
