,hdd_ssd,read_speed,write_speed,PRICE
0,1,570.0,470.0,4695
1,1,900.0,145.0,6080
2,1,110.0,45.0,4730
3,1,110.0,95.0,5940
4,1,119.0,36.0,6393
5,1,230.0,40.0,2819
6,1,500.0,280.0,5820
7,1,500.0,450.0,3035
8,1,560.0,160.0,4481
9,1,560.0,310.0,2590
10,1,560.0,460.0,2780
11,1,570.0,470.0,6201
12,1,1350.0,290.0,7700
13,1,80.0,50.0,156627
14,1,140.0,18.0,139961
15,1,1450.0,640.0,13640
16,1,110.0,72.0,7150
17,1,110.0,95.0,7480
18,1,115.0,64.0,10593
19,1,270.0,95.0,5350
20,1,400.0,90.0,3980
21,1,450.0,80.0,3980
22,1,500.0,280.0,8200
23,1,500.0,450.0,4054
24,1,550.0,400.0,2980
25,1,550.0,520.0,5775
26,1,560.0,160.0,7447
27,1,560.0,310.0,4138
28,1,560.0,460.0,4180
29,1,570.0,470.0,8095
30,1,1450.0,640.0,25410
31,1,300.0,50.0,2853
32,1,340.0,200.0,1840
33,1,340.0,320.0,3380
34,1,350.0,60.0,5370
35,1,350.0,350.0,3780
36,1,380.0,340.0,3999
37,1,400.0,300.0,3180
38,1,400.0,390.0,3276
39,1,400.0,400.0,10780
40,1,410.0,400.0,3438
41,1,415.0,340.0,9929
42,1,421.6,370.0,2979
43,1,470.0,450.0,7150
44,1,500.0,300.0,1993
45,1,500.0,320.0,2821
46,1,500.0,400.0,1949
47,1,500.0,450.0,8456
48,1,510.0,400.0,2480
49,1,520.0,200.0,10280
50,1,520.0,320.0,2280
51,1,520.0,450.0,2828
52,1,520.0,460.0,4980
53,1,525.0,500.0,5863
54,1,530.0,310.0,2506
55,1,530.0,400.0,2015
56,1,540.0,500.0,2400
57,1,550.0,350.0,3758
58,1,550.0,410.0,6138
59,1,550.0,440.0,3795
60,1,550.0,450.0,2184
61,1,550.0,500.0,2180
62,1,555.0,510.0,8036
63,1,555.0,540.0,3980
64,1,557.0,507.0,11588
65,1,560.0,370.0,5990
66,1,560.0,410.0,2256
67,1,560.0,460.0,3272
68,1,560.0,480.0,1990
69,1,560.0,500.0,2933
70,1,560.0,530.0,3065
71,1,80.0,60.0,21430
72,1,110.0,95.0,10230
73,1,112.0,90.0,8800
74,1,119.0,93.0,40770
75,1,270.0,200.0,293500
76,1,400.0,400.0,5934
77,1,410.0,380.0,27986
78,1,440.0,430.0,3280
79,1,500.0,450.0,6498
80,1,520.0,460.0,8380
81,1,530.0,490.0,3535
82,1,540.0,190.0,7700
83,1,545.0,330.0,10363
84,1,546.0,182.0,4549
85,1,550.0,170.0,5980
86,1,550.0,400.0,4020
87,1,550.0,420.0,2525
88,1,550.0,440.0,4614
89,1,550.0,500.0,2728
90,1,550.0,520.0,9391
91,1,555.0,500.0,6379
92,1,560.0,160.0,10794
93,1,560.0,300.0,4050
94,1,560.0,310.0,7582
95,1,560.0,400.0,3108
96,1,560.0,460.0,6396
97,1,560.0,480.0,5780
98,1,560.0,500.0,2980
99,1,560.0,510.0,2390
100,1,560.0,520.0,3580
101,1,570.0,470.0,11384
102,1,770.0,450.0,9069
103,1,1640.0,650.0,5380
104,1,1700.0,1500.0,3380
105,1,1850.0,570.0,14778
106,1,530.0,450.0,4480
107,1,754.0,635.0,1078000
108,1,150.0,35.0,472639
109,1,300.0,200.0,4380
110,1,340.0,320.0,3700
111,1,350.0,350.0,4280
112,1,360.0,360.0,18864
113,1,380.0,340.0,4998
114,1,400.0,380.0,4780
115,1,400.0,390.0,4950
116,1,400.0,400.0,12780
117,1,410.0,400.0,4816
118,1,415.0,340.0,7770
119,1,421.6,370.0,4200
120,1,430.0,430.0,17710
121,1,450.0,450.0,12660
122,1,490.0,460.0,6854
123,1,500.0,260.0,29480
124,1,500.0,350.0,3580
125,1,500.0,410.0,3339
126,1,500.0,430.0,8243
127,1,500.0,450.0,15800
128,1,500.0,480.0,4059
129,1,520.0,400.0,17280
130,1,520.0,450.0,3267
131,1,520.0,460.0,6850
132,1,520.0,500.0,3140
133,1,530.0,420.0,9878
134,1,530.0,440.0,3520
135,1,530.0,450.0,3263
136,1,530.0,460.0,4980
137,1,530.0,470.0,5780
138,1,540.0,490.0,9548
139,1,540.0,500.0,3573
140,1,540.0,530.0,19401
141,1,550.0,440.0,8800
142,1,550.0,480.0,3259
143,1,550.0,490.0,4510
144,1,550.0,500.0,4980
145,1,550.0,510.0,3850
146,1,550.0,520.0,3380
147,1,555.0,540.0,6480
148,1,560.0,280.0,11989
149,1,560.0,320.0,16280
150,1,560.0,440.0,3459
151,1,560.0,470.0,3718
152,1,560.0,500.0,4780
153,1,560.0,510.0,3290
154,1,560.0,520.0,9328
155,1,570.0,310.0,8980
156,1,570.0,460.0,13500
157,1,750.0,700.0,8980
158,1,800.0,700.0,9183
159,1,950.0,550.0,12800
160,1,1000.0,800.0,9235
161,1,1050.0,950.0,9480
162,1,1400.0,750.0,15710
163,1,1500.0,800.0,6100
164,1,1500.0,1000.0,4178
165,1,1600.0,700.0,12585
166,1,2000.0,1200.0,10160
167,1,3000.0,1000.0,4950
168,1,3100.0,1050.0,5880
169,1,3200.0,1100.0,9655
170,1,370.0,200.0,6980
171,1,400.0,320.0,5556
172,1,415.0,365.0,9900
173,1,430.0,400.0,7678
174,1,450.0,450.0,11880
175,1,540.0,500.0,11980
176,1,540.0,520.0,6217
177,1,540.0,540.0,9480
178,1,550.0,520.0,6511
179,1,550.0,525.0,4818
180,1,555.0,515.0,3278
181,1,560.0,490.0,10480
182,1,560.0,500.0,10574
183,1,560.0,510.0,4938
184,1,560.0,540.0,4880
185,1,1000.0,900.0,9833
