,0,name,url,capacity,rpm,cache,interface,PRICE
0,335,富士通 MBB2073RC (73.5GB 10025 SAS),https://kakaku.com/item/K0000052533/,73.5,10025.0,16000.0,SAS,1480
1,341,富士通 MBE2073RC (73.5GB 15000 SAS),https://kakaku.com/item/K0000003208/,73.5,15000.0,16000.0,SAS,3040
2,272,HGST HTS541680J9AT00 (80G 9.5mm),https://kakaku.com/item/05360410350/,80.0,5400.0,8000.0,UltraATA100,4578
3,110,SEAGATE ST380215ACE [80GB U100 7200],https://kakaku.com/item/K0000364320/,80.0,7200.0,2000.0,UltraATA100,3950
4,325,HGST HTS541612J9AT00 (120G 9.5mm),https://kakaku.com/item/05360410349/,120.0,5400.0,8000.0,UltraATA100,11206
5,342,富士通 MBD2147RC (147GB 10025 SAS),https://kakaku.com/item/K0000003206/,147.0,10025.0,16000.0,SAS,8650
6,289,HGST HTS541616J9AT00 (160G 9.5mm),https://kakaku.com/item/05360410348/,160.0,5400.0,8000.0,UltraATA100,6050
7,91,SEAGATE ST3160215ACE [160GB U100 7200],https://kakaku.com/item/K0000364318/,160.0,7200.0,2000.0,UltraATA100,5980
8,273,HGST HTS543225A7A384 [250GB 7mm],https://kakaku.com/item/K0000116655/,250.0,5400.0,8000.0,SerialATA300,2275
9,263,SEAGATE ST250LT003 [250GB 7mm],https://kakaku.com/item/K0000393713/,250.0,5400.0,16000.0,SerialATA300,2176
10,165,SEAGATE ST3250312AS [250GB SATA600 7200],https://kakaku.com/item/K0000228650/,250.0,7200.0,8000.0,0,2868
11,63,WESTERN DIGITAL WD2500AAKX [250GB SATA600 7200],https://kakaku.com/item/K0000315145/,250.0,7200.0,16000.0,0,2769
12,320,WESTERN DIGITAL WD2500LPLX [250GB 7mm],https://kakaku.com/item/K0000879805/,250.0,7200.0,32000.0,SerialATA600,7280
13,145,WESTERN DIGITAL WD2503ABYZ [250GB SATA600 7200],https://kakaku.com/item/K0000651713/,250.0,7200.0,64000.0,SerialATA600,10181
14,343,東芝 MBF2300RC (300GB 10025 SAS2.0),https://kakaku.com/item/K0000091295/,300.0,10025.0,16000.0,SAS2.0,8896
15,260,WESTERN DIGITAL WD3200LPVX [320GB 7mm],https://kakaku.com/item/K0000519162/,320.0,5400.0,8000.0,SerialATA600,2472
