id,clock,core,thread,is_L2,L2,is_L3,L3,is_smart_cache,smart_cache,SP,m_cap,m_bus,m_clock,capacity,generation,rpm(0)/read(1),cache(0)/write(1),score
3014,1.6,4.0,4.0,1.0,2000.0,0.0,0.0,0.0,0.0,6.0,128.0,128.0,400.0,1.023,1.0,754.0,635.0,52487.0
3019,1.6,4.0,4.0,1.0,2000.0,0.0,0.0,0.0,0.0,6.0,128.0,128.0,400.0,1.023,1.0,754.0,635.0,54494.0
3078,1.6,4.0,4.0,1.0,2000.0,0.0,0.0,0.0,0.0,6.0,128.0,128.0,400.0,1.023,1.0,754.0,635.0,55613.0
3197,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,7.0,256.0,256.0,950.0,1.023,1.0,560.0,510.0,60533.0
3738,1.6,4.0,4.0,1.0,2000.0,0.0,0.0,0.0,0.0,6.0,128.0,128.0,400.0,1.023,1.0,754.0,635.0,50547.0
4123,1.6,4.0,4.0,1.0,2000.0,0.0,0.0,0.0,0.0,7.0,128.0,256.0,500.0,1.024,1.0,560.0,510.0,50178.0
4652,2.4,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,2.0,64.0,128.0,332.0,0.512,1.0,560.0,510.0,38688.0
5193,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,7.0,128.0,256.0,500.0,1.024,1.0,560.0,510.0,52684.0
5196,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,7.0,128.0,256.0,500.0,1.024,1.0,560.0,510.0,54649.0
7809,1.6,4.0,4.0,1.0,2000.0,0.0,0.0,0.0,0.0,6.0,128.0,128.0,400.0,1.023,1.0,754.0,635.0,50780.0
8472,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,22.0,256.0,256.0,1000.0,1.023,2.0,560.0,530.0,83152.0
8474,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,22.0,256.0,256.0,1000.0,1.023,2.0,560.0,530.0,86365.0
8693,2.4,1.0,2.0,1.0,512.0,0.0,0.0,0.0,0.0,6.0,128.0,128.0,600.0,0.511,1.0,754.0,635.0,52973.0
10244,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,7.0,128.0,256.0,850.0,1.023,2.0,560.0,530.0,67338.0
10254,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,7.0,128.0,256.0,850.0,1.023,2.0,560.0,530.0,67786.0
10312,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,7.0,128.0,256.0,850.0,1.023,2.0,560.0,530.0,67471.0
11591,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,6.0,64.0,64.0,400.0,1.023,2.0,560.0,530.0,55271.0
12634,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,7.0,128.0,256.0,550.0,1.024,1.0,560.0,530.0,68753.0
14442,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,5.0,128.0,128.0,400.0,0.512,1.0,560.0,510.0,45591.0
21466,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,22.0,256.0,256.0,1000.0,1.023,2.0,560.0,530.0,86712.0
21468,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,22.0,256.0,256.0,1000.0,1.023,2.0,560.0,530.0,86703.0
31137,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,22.0,128.0,256.0,500.0,2.0469999999999997,2.0,560.0,530.0,87159.0
32656,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,11.0,256.0,128.0,700.0,1.024,4.0,560.0,530.0,71041.0
33425,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,22.0,256.0,256.0,1000.0,1.023,2.0,560.0,530.0,87459.0
34536,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,17.0,128.0,128.0,1000.0,1.023,2.0,550.0,525.0,75769.0
35541,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,11.0,128.0,128.0,1000.0,1.024,2.0,560.0,530.0,88924.0
36545,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,22.0,256.0,256.0,1100.0,1.023,2.0,560.0,530.0,52037.0
36575,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,22.0,256.0,256.0,1000.0,2.048,1.0,250.0,150.0,85565.0
38566,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,22.0,256.0,256.0,1000.0,1.024,1.0,560.0,510.0,62843.0
41639,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,11.0,128.0,128.0,1000.0,2.048,2.0,560.0,510.0,75595.0
43056,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,11.0,256.0,128.0,700.0,2.048,2.0,560.0,530.0,65226.0
43534,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,2.0,64.0,128.0,400.0,2.048,1.0,754.0,635.0,63117.0
43562,1.6,4.0,4.0,1.0,2000.0,0.0,0.0,0.0,0.0,6.0,128.0,128.0,600.0,1.535,1.0,560.0,510.0,53814.0
43707,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,22.0,256.0,256.0,1000.0,1.023,2.0,560.0,530.0,82968.0
44147,1.6,4.0,4.0,1.0,2000.0,0.0,0.0,0.0,0.0,6.0,128.0,128.0,600.0,1.535,1.0,560.0,510.0,58242.0
45019,2.8,2.0,2.0,1.0,2000.0,0.0,0.0,0.0,0.0,11.0,128.0,128.0,1000.0,1.02,2.0,560.0,530.0,74355.0
45074,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,6.0,64.0,64.0,400.0,2.0469999999999997,2.0,560.0,530.0,76906.0
45105,3.2,2.0,2.0,1.0,4000.0,0.0,0.0,0.0,0.0,32.0,256.0,256.0,1200.0,2.048,2.0,560.0,530.0,110734.0
45566,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,16.0,512.0,64.0,1580.0,1.023,2.0,560.0,530.0,60401.0
45738,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,22.0,256.0,256.0,1000.0,1.023,2.0,560.0,530.0,87306.0
45918,2.8,2.0,2.0,1.0,2000.0,0.0,0.0,0.0,0.0,6.0,64.0,128.0,400.0,3.0,2.0,560.0,530.0,70557.0
45928,2.8,2.0,2.0,1.0,2000.0,0.0,0.0,0.0,0.0,6.0,64.0,128.0,400.0,3.0,2.0,560.0,530.0,73045.0
48246,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,32.0,256.0,256.0,1200.0,1.023,2.0,540.0,520.0,96476.0
49455,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,32.0,256.0,256.0,1200.0,2.0469999999999997,2.0,560.0,530.0,106480.0
50610,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,16.0,512.0,64.0,1580.0,1.023,2.0,560.0,530.0,69462.0
52330,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,16.0,512.0,64.0,1580.0,1.023,2.0,560.0,530.0,62156.0
52608,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,6.0,128.0,128.0,400.0,2.048,1.0,560.0,510.0,53918.0
53084,3.2,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,6.0,128.0,64.0,392.0,2.0469999999999997,2.0,530.0,450.0,78966.0
53807,2.8,2.0,2.0,1.0,2000.0,0.0,0.0,0.0,0.0,6.0,256.0,128.0,500.0,2.0469999999999997,2.0,560.0,530.0,83083.0
53924,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,16.0,512.0,64.0,1580.0,0.511,2.0,560.0,530.0,68746.0
55360,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,6.0,64.0,128.0,400.0,1.023,2.0,540.0,520.0,59377.0
55469,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3000.0,6.0,256.0,128.0,500.0,2.0469999999999997,2.0,560.0,530.0,85170.0
56113,2.4,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,1.0,4.0,64.0,40.0,0.512,1.0,754.0,635.0,22635.0
56118,2.4,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,5.0,128.0,128.0,400.0,0.512,1.0,754.0,635.0,32996.0
56987,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,17.0,128.0,256.0,600.0,1.023,2.0,550.0,520.0,114032.0
57024,2.8,2.0,2.0,1.0,2000.0,0.0,0.0,0.0,0.0,16.0,512.0,64.0,1580.0,1.023,2.0,560.0,530.0,71581.0
57782,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3000.0,16.0,512.0,64.0,1580.0,1.023,2.0,560.0,530.0,55354.0
58014,2.8,2.0,2.0,1.0,2000.0,0.0,0.0,0.0,0.0,7.0,128.0,64.0,648.0,1.023,2.0,560.0,530.0,62437.0
58423,2.8,2.0,2.0,1.0,2000.0,0.0,0.0,0.0,0.0,16.0,512.0,64.0,1580.0,2.0469999999999997,2.0,560.0,530.0,56590.0
58880,2.4,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,5.0,128.0,128.0,400.0,0.512,1.0,754.0,635.0,33254.0
58882,2.4,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,5.0,128.0,128.0,400.0,0.512,1.0,754.0,635.0,33254.0
60312,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,7.0,128.0,64.0,648.0,1.023,2.0,560.0,530.0,60402.0
61796,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,11.0,128.0,128.0,1000.0,1.024,2.0,560.0,530.0,69406.0
62909,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,16.0,512.0,64.0,1580.0,2.0469999999999997,2.0,560.0,530.0,57290.0
63093,2.4,2.0,2.0,1.0,4000.0,0.0,0.0,0.0,0.0,32.0,256.0,256.0,1320.0,2.048,2.0,560.0,530.0,129039.0
63434,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,11.0,128.0,128.0,1000.0,2.048,2.0,560.0,530.0,75320.0
63649,2.4,2.0,2.0,1.0,4000.0,0.0,0.0,0.0,0.0,27.0,256.0,256.0,1000.0,2.048,2.0,754.0,635.0,138140.0
65520,2.4,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,1.0,4.0,64.0,40.0,0.512,1.0,754.0,635.0,22631.0
65587,1.86,2.0,2.0,1.0,2000.0,0.0,0.0,0.0,0.0,32.0,256.0,256.0,1320.0,2.048,2.0,530.0,450.0,143388.0
66127,3.4,2.0,2.0,1.0,4000.0,0.0,0.0,0.0,0.0,16.0,512.0,64.0,1580.0,1.024,2.0,560.0,530.0,56143.0
67164,2.8,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,16.0,512.0,64.0,1580.0,1.023,2.0,560.0,530.0,60495.0
69563,2.8,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,7.0,128.0,256.0,700.0,1.024,1.0,3200.0,1500.0,51679.0
69578,2.8,1.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,7.0,128.0,256.0,700.0,1.024,1.0,3200.0,1500.0,50582.0
70353,2.8,1.0,2.0,1.0,512.0,0.0,0.0,0.0,0.0,2.0,64.0,128.0,400.0,2.048,1.0,754.0,635.0,33583.0
70830,2.4,2.0,2.0,1.0,4000.0,0.0,0.0,0.0,0.0,17.0,256.0,128.0,1400.0,2.048,2.0,560.0,530.0,131547.0
71340,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,6.0,256.0,128.0,500.0,1.023,2.0,2000.0,1100.0,68940.0
72439,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,12.0,128.0,256.0,700.0,0.512,1.0,560.0,510.0,81331.0
74136,2.0,2.0,2.0,1.0,4000.0,0.0,0.0,0.0,0.0,17.0,256.0,128.0,800.0,1.022,2.0,560.0,530.0,67650.0
76052,2.4,2.0,2.0,1.0,4000.0,0.0,0.0,0.0,0.0,7.0,256.0,64.0,532.0,1.024,2.0,550.0,520.0,87480.0
77756,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,16.0,512.0,64.0,1580.0,1.023,2.0,560.0,530.0,65560.0
77758,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,16.0,512.0,64.0,1580.0,1.023,2.0,560.0,530.0,65560.0
81969,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,22.0,256.0,256.0,1000.0,1.024,1.0,3500.0,1100.0,49124.0
84071,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3000.0,7.0,128.0,128.0,650.0,2.048,1.0,560.0,530.0,83046.0
84178,2.66,2.0,2.0,1.0,4000.0,0.0,0.0,0.0,0.0,32.0,512.0,128.0,1400.0,2.048,2.0,560.0,530.0,128598.0
86470,2.66,4.0,4.0,1.0,8000.0,0.0,0.0,0.0,0.0,17.0,256.0,256.0,1000.0,3.072,2.0,560.0,530.0,213170.0
86498,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3000.0,17.0,256.0,128.0,800.0,2.0469999999999997,2.0,3470.0,2600.0,80688.0
86673,2.4,2.0,2.0,1.0,4000.0,0.0,0.0,0.0,0.0,32.0,512.0,128.0,1400.0,2.048,2.0,58.0,30.0,127551.0
89041,2.4,4.0,4.0,1.0,8000.0,0.0,0.0,0.0,0.0,96.0,320.0,320.0,1584.0,3.582,2.0,560.0,530.0,172708.0
89051,3.0,1.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,7.0,256.0,256.0,850.0,3.327,1.0,754.0,635.0,65022.0
89844,2.4,4.0,4.0,1.0,8000.0,0.0,0.0,0.0,0.0,32.0,512.0,128.0,1400.0,2.046,2.0,520.0,320.0,127012.0
90074,2.4,2.0,2.0,1.0,4000.0,0.0,0.0,0.0,0.0,32.0,512.0,128.0,1400.0,2.046,2.0,560.0,530.0,116094.0
90086,2.4,4.0,4.0,1.0,8000.0,0.0,0.0,0.0,0.0,112.0,512.0,256.0,1800.0,2.048,2.0,560.0,510.0,221818.0
